sample_name,Dataset,project_name,vessel,ESP_sample_match,year,season,collection_date_Flyer,sampling_platform,sampling_device,filtration_device,control_status,station,bottom_depth_m,bottom_depth_group_m,CTD_cast,depth_m,temp_C,salinity_PSU,O2_mL_L,O2_group,density_kG_m3,chlA_ug_L,fluor_volt,latitude,lat_group,longitude,PO4,SiO4,NO3,NO2,NH4,volume_filtered_ml,filter_type,filter_pore_size_um,target_subfragment,F_primer,R_primer,primers_FR,seq_platform,seq_model,seq_chemistry,run_center,run_date,Description,cruise
Lasker18Sc122_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc122_19_D0058,2018,Spring,20180603,Lasker,CTD,peristaltic,Exp,425,1868,500-2000,122,18,14.1998997,33.4934006,5.755000114,,24.98180008,0.60075474,,33.91416667,33.6-34.5,-120.71,0.19,2.903,3.207,0.117,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc122_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc122_3_D0052,2018,Spring,20180603,Lasker,CTD,peristaltic,Exp,425,1868,500-2000,122,100,9.62549973,33.777401,3.128000021,,26.06159973,0,,33.91416667,33.6-34.5,-120.71,1.127,21.593,23.236,0.06,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc122_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc122_5_D0053,2018,Spring,20180603,Lasker,CTD,peristaltic,Exp,425,1868,500-2000,122,100,9.62549973,33.777401,3.128000021,,26.06159973,0,,33.91416667,33.6-34.5,-120.71,1.442,21.912,23.449,0.045,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc123_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc123_17_D0068,2018,Spring,20180604,Lasker,CTD,peristaltic,Exp,422,253,100-300,123,10,13.2612,33.7669983,5.929999828,,25.38579941,4.89281321,,34.41,33.6-34.5,-120.3686111,0.83,9.892,6.501,0.242,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc123_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc123_19_D0069,2018,Spring,20180604,Lasker,CTD,peristaltic,Exp,422,253,100-300,123,10,13.2612,33.7669983,5.929999828,,25.38579941,4.89281321,,34.41,33.6-34.5,-120.3686111,0.459,9.962,6.368,0.209,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc123_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc123_3_D0063,2018,Spring,20180604,Lasker,CTD,peristaltic,Exp,422,253,100-300,123,100,9.2191,34.0270996,1.771999955,,26.32299995,0.06182471,,34.41,33.6-34.5,-120.3686111,2.322,33.215,28.647,0.099,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc123_5,Merged2018,eCruises_2018,Lasker,Lasker18Sc123_5_D0064,2018,Spring,20180604,Lasker,CTD,peristaltic,Exp,422,253,100-300,123,100,9.2191,34.0270996,1.771999955,,26.32299995,0.06182471,,34.41,33.6-34.5,-120.3686111,2.298,33.397,28.572,0.077,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc153_17,Merged2018,eCruises_2018,Lasker,Lasker18Sc153_17_D0255,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,112,83,,153,6,11.2858,33.8235016,5.80700016,,25.80789948,10.8059549,,36.66888889,36.5-37,-121.9580556,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc153_19,Merged2018,eCruises_2018,Lasker,Lasker18Sc153_19_D0256,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,112,83,,153,6,11.2858,33.8235016,5.80700016,,25.80789948,10.8059549,,36.66888889,36.5-37,-121.9580556,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
Lasker18Sc153_3,Merged2018,eCruises_2018,Lasker,Lasker18Sc153_3_D0250,2018,Spring,20180610,Lasker,CTD,peristaltic,Exp,112,83,,153,50,9.12030029,33.9193001,2.549000025,,26.25359917,0.07626572,,36.66888889,36.5-37,-121.9580556,,,,,,1000,PVDF,0.22,V4,515F (Parada),806R (Apprill),515F_806R,Illumina,MiSeq,2X250bp PE,MSU,Jan_2022,RREAS 2018,Lasker
