parentEventID,materialSampleID,eventID,eventDate,samplingProtocol,locationID,waterBody,locality,minimumDepthInMeters,decimalLatitude,decimalLongitude,# ASVs
GOMECC4_CAMPECHE_Sta90_Surface_B,SAMN37516381,GOMECC4_CAMPECHE_Sta90_Surface_B_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,22.0,-92.917,325
GOMECC4_CAMPECHE_Sta90_Surface_C,SAMN37516382,GOMECC4_CAMPECHE_Sta90_Surface_C_18S,2021-10-09T14:20-04:00,CTD rosette,CAMPECHE_Sta90,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,22.0,-92.917,355
GOMECC4_CAMPECHE_Sta91_DCM_A,SAMN37516386,GOMECC4_CAMPECHE_Sta91_DCM_A_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,60,21.733,-92.318,314
GOMECC4_CAMPECHE_Sta91_DCM_B,SAMN37516387,GOMECC4_CAMPECHE_Sta91_DCM_B_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,60,21.733,-92.318,295
GOMECC4_CAMPECHE_Sta91_DCM_C,SAMN37516388,GOMECC4_CAMPECHE_Sta91_DCM_C_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,60,21.733,-92.318,367
GOMECC4_CAMPECHE_Sta91_Deep_A,SAMN37516383,GOMECC4_CAMPECHE_Sta91_Deep_A_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,106,21.733,-92.318,355
GOMECC4_CAMPECHE_Sta91_Deep_B,SAMN37516384,GOMECC4_CAMPECHE_Sta91_Deep_B_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,106,21.733,-92.318,420
GOMECC4_CAMPECHE_Sta91_Deep_C,SAMN37516385,GOMECC4_CAMPECHE_Sta91_Deep_C_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,106,21.733,-92.318,430
GOMECC4_CAMPECHE_Sta91_Surface_A,SAMN37516389,GOMECC4_CAMPECHE_Sta91_Surface_A_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,4,21.733,-92.318,313
GOMECC4_CAMPECHE_Sta91_Surface_B,SAMN37516390,GOMECC4_CAMPECHE_Sta91_Surface_B_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,4,21.733,-92.318,238
GOMECC4_CAMPECHE_Sta91_Surface_C,SAMN37516391,GOMECC4_CAMPECHE_Sta91_Surface_C_18S,2021-10-09T22:18-04:00,CTD rosette,CAMPECHE_Sta91,"Mexico, Gulf of",Mexico: Gulf of Mexico,4,21.733,-92.318,224
GOMECC4_CAMPECHE_Sta93_Deep_A,SAMN37516392,GOMECC4_CAMPECHE_Sta93_Deep_A_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,19,21.167,-90.768,343
GOMECC4_CAMPECHE_Sta93_Deep_B,SAMN37516393,GOMECC4_CAMPECHE_Sta93_Deep_B_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,19,21.167,-90.768,256
GOMECC4_CAMPECHE_Sta93_Deep_C,SAMN37516394,GOMECC4_CAMPECHE_Sta93_Deep_C_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,19,21.167,-90.768,171
GOMECC4_CAMPECHE_Sta93_Surface_A,SAMN37516395,GOMECC4_CAMPECHE_Sta93_Surface_A_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.167,-90.768,214
GOMECC4_CAMPECHE_Sta93_Surface_B,SAMN37516396,GOMECC4_CAMPECHE_Sta93_Surface_B_18S,2021-10-10T11:19-04:00,CTD rosette,CAMPECHE_Sta93,"Mexico, Gulf of",Mexico: Gulf of Mexico,3,21.167,-90.768,207
