Site_id,Site_id_R,Site_no,Season,River,Detritus,12up,read.count.COI,read.count.12S
2T-26,X2T.26,26,Summer,Thur,1,0,16847,44949
2T-27,X2T.27,27,Summer,Thur,1,0,20152,42350
2T-28,X2T.28,28,Summer,Thur,1,0,16126,26694
2T-30,X2T.30,30,Summer,Thur,1,0,15592,62350
2T-31,X2T.31,31,Summer,Thur,1,0,26304,37971
2T-32,X2T.32,32,Summer,Thur,1,0,19795,81929
2T-33,X2T.33,33,Summer,Thur,1,0,18428,43258
2T-34,X2T.34,34,Summer,Thur,1,0,17864,39778
2T-35,X2T.35,35,Summer,Thur,1,0,21356,34870
2T-36,X2T.36,36,Summer,Thur,1,0,18207,42094
2T-37,X2T.37,37,Summer,Thur,1,0,12514,37572
2T-38,X2T.38,38,Summer,Thur,1,0,15787,61400
2T-39,X2T.39,39,Summer,Thur,1,0,21016,56207
2T-41,X2T.41,41,Summer,Thur,1,0,22092,33771
2T-42,X2T.42,42,Summer,Thur,1,0,20046,53239
2T-44,X2T.44,44,Summer,Thur,1,0,9251,30889
3G-01,X3G.01,1,Autumn,Glatt,1,0,14844,67143
3G-02,X3G.02,2,Autumn,Glatt,1,0,15137,58894
3G-03,X3G.03,3,Autumn,Glatt,1,0,15979,54457
3G-04,X3G.04,4,Autumn,Glatt,1,0,17190,44934
3G-05,X3G.05,5,Autumn,Glatt,1,0,18637,47312
3G-06,X3G.06,6,Autumn,Glatt,1,0,14458,89036
3G-07,X3G.07,7,Autumn,Glatt,1,0,1370173,62629
3G-08,X3G.08,8,Autumn,Glatt,1,0,9616,45248
3G-09,X3G.09,9,Autumn,Glatt,1,0,15921,41738
3G-10,X3G.10,10,Autumn,Glatt,1,0,17167,25812
3G-11,X3G.11,11,Autumn,Glatt,1,0,33679,55834
3G-12,X3G.12,12,Autumn,Glatt,1,0,19817,45645
3G-13,X3G.13,13,Autumn,Glatt,1,0,14210,62606
3G-14,X3G.14,14,Autumn,Glatt,1,0,17033,58889
3G-15,X3G.15,15,Autumn,Glatt,1,0,32479,50563
3N-01,X3N.01,1,Autumn,Necker,1,0,36960,47646
3N-02,X3N.02,2,Autumn,Necker,1,0,20576,62441
3N-03,X3N.03,3,Autumn,Necker,1,0,13276,51362
3N-04,X3N.04,4,Autumn,Necker,1,0,19616,45441
3N-05,X3N.05,5,Autumn,Necker,1,0,9206,50189
3N-06,X3N.06,6,Autumn,Necker,1,0,17999,61483
3N-07,X3N.07,7,Autumn,Necker,1,0,71,41594
3N-08,X3N.08,8,Autumn,Necker,1,0,15216,26942
3N-09,X3N.09,9,Autumn,Necker,1,0,15804,28801
3N-10,X3N.10,10,Autumn,Necker,1,0,14454,58293
3N-11,X3N.11,11,Autumn,Necker,1,0,12997,28978
3N-12,X3N.12,12,Autumn,Necker,1,0,15887,59085
3N-13,X3N.13,13,Autumn,Necker,1,0,11539,46610
3N-14,X3N.14,14,Autumn,Necker,1,0,11685,50223
3T-01,X3T.01,1,Autumn,Thur,1,0,16273,57259
3T-02,X3T.02,2,Autumn,Thur,1,0,15323,45007
3T-03,X3T.03,3,Autumn,Thur,1,0,11693,32563
3T-04,X3T.04,4,Autumn,Thur,1,0,14832,47988
3T-05,X3T.05,5,Autumn,Thur,1,0,19167,37273
3T-06,X3T.06,6,Autumn,Thur,1,0,21589,51558
3T-07,X3T.07,7,Autumn,Thur,1,0,14431,52134
3T-08,X3T.08,8,Autumn,Thur,1,0,15898,62909
3T-09,X3T.09,9,Autumn,Thur,1,0,16005,33179
3T-10,X3T.10,10,Autumn,Thur,1,0,20486,59593
3T-11,X3T.11,11,Autumn,Thur,1,0,17872,50647
3T-12,X3T.12,12,Autumn,Thur,1,0,16727,51630
3T-13,X3T.13,13,Autumn,Thur,1,0,17269,44042
3T-14,X3T.14,14,Autumn,Thur,1,0,43995,53687
3T-15,X3T.15,15,Autumn,Thur,1,0,8864,30407
3T-16,X3T.16,16,Autumn,Thur,1,0,17912,49454
3T-17,X3T.17,17,Autumn,Thur,1,0,17279,37160
3T-18,X3T.18,18,Autumn,Thur,1,0,16460,38150
3T-19,X3T.19,19,Autumn,Thur,1,0,13957,61768
3T-20,X3T.20,20,Autumn,Thur,1,0,15716,67792
3T-21,X3T.21,21,Autumn,Thur,1,0,17514,39306
3T-22,X3T.22,22,Autumn,Thur,1,0,2903,51649
3T-23,X3T.23,23,Autumn,Thur,1,0,21312,61777
3T-24,X3T.24,24,Autumn,Thur,1,0,19007,54658
3T-25,X3T.25,25,Autumn,Thur,1,0,15154,26686
3T-26,X3T.26,26,Autumn,Thur,1,0,21684,59789
3T-27,X3T.27,27,Autumn,Thur,1,0,9944,46126
3T-28,X3T.28,28,Autumn,Thur,1,0,12766,48355
3T-29,X3T.29,29,Autumn,Thur,1,0,15712,46479
3T-30,X3T.30,30,Autumn,Thur,1,0,17829,47411
3T-31,X3T.31,31,Autumn,Thur,1,0,12029,51218
3T-32,X3T.32,32,Autumn,Thur,1,0,17394,73717
3T-33,X3T.33,33,Autumn,Thur,1,0,13206,68155
3T-34,X3T.34,34,Autumn,Thur,1,0,20690,43013
3T-35,X3T.35,35,Autumn,Thur,1,0,22339,60167
3T-36,X3T.36,36,Autumn,Thur,1,0,17921,65556
3T-37,X3T.37,37,Autumn,Thur,1,0,14081,66787
3T-38,X3T.38,38,Autumn,Thur,1,0,27293,56961
3T-39,X3T.39,39,Autumn,Thur,1,0,12932,60078
3T-40,X3T.40,40,Autumn,Thur,1,0,16890,32427
3T-41,X3T.41,41,Autumn,Thur,1,0,36262,60207
3T-42,X3T.42,42,Autumn,Thur,1,0,15298,31558
3T-43,X3T.43,43,Autumn,Thur,1,0,5129,65095
3T-44,X3T.44,44,Autumn,Thur,1,0,9855,28329
