#FeatureID	taxonomy	confidence
ASV_74	d__Eukaryota	0.875421439
ASV_75	d__Eukaryota; p__Diatomea	0.995947662
ASV_76	d__Eukaryota	0.999956022
ASV_77	Unassigned	0.391136823
ASV_78	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales	0.923899518
ASV_79	d__Eukaryota	0.857270884
ASV_80	d__Eukaryota	0.926360903
ASV_81	d__Eukaryota	0.999817028
ASV_82	d__Eukaryota	0.999639539
ASV_83	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II	0.820338909
ASV_84	d__Bacteria	0.753690729
ASV_85	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.797780721
ASV_86	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae	0.766591469
ASV_87	d__Eukaryota; p__Protalveolata; c__Syndiniales; o__Syndiniales; f__Syndiniales_Group_II; g__Syndiniales_Group_II	0.715486178
ASV_88	d__Eukaryota	0.996265568
ASV_89	d__Eukaryota	0.764899875
ASV_90	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.721538112
ASV_91	d__Eukaryota; p__Euglenozoa; c__Euglenida; o__Heteronematina; f__Heteronematina; g__Petalomonas	0.87967222
ASV_92	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae	0.985751734
ASV_93	d__Eukaryota; p__Euglenozoa; c__Diplonemea; o__Diplonemea; f__Diplonemea	0.710184864
ASV_94	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmata; f__Thermoplasmata; g__Marine_Group_III; s__metagenome	0.73025749
ASV_95	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Arctic97B-4_marine_group; f__Arctic97B-4_marine_group; g__Arctic97B-4_marine_group	0.846257744
ASV_96	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.977348216
ASV_97	d__Eukaryota	0.999982175
ASV_98	d__Eukaryota	0.999731583
ASV_99	d__Bacteria	0.94661822
ASV_100	d__Eukaryota	0.998321546
ASV_101	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	0.890382138
ASV_102	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.97521863
ASV_103	Unassigned	0.648706072
ASV_104	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I	0.761055171
ASV_105	d__Eukaryota	0.999542102
ASV_106	d__Bacteria	0.962018975
ASV_107	d__Eukaryota	0.899119761
ASV_108	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__uncultured_Chlorophyta	0.717260442
ASV_109	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.716590106
ASV_110	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pycnococcus_provasolii	0.982890709
ASV_111	d__Eukaryota	0.998578189
ASV_112	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II	0.963936513
ASV_113	Unassigned	0.334128844
ASV_114	d__Eukaryota	0.866763962
ASV_115	d__Eukaryota	0.996931151
ASV_116	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Rhizopodaceae; g__Rhizopus; s__Rhizopus_stolonifer	0.81653121
ASV_117	d__Eukaryota; p__Ochrophyta; c__Eustigmatophyceae; o__Eustigmatales; f__Eustigmatales; g__Monodus; s__Monodus_subterranea	0.926882425
ASV_118	Unassigned	0.636873885
ASV_119	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.967713982
ASV_120	Unassigned	0.804173387
ASV_121	d__Eukaryota	0.999843318
ASV_122	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II	0.872815916
ASV_123	d__Bacteria	0.894685932
ASV_124	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.946019034
ASV_125	d__Eukaryota	0.705309458
ASV_126	d__Eukaryota	0.999506359
ASV_127	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae	0.785411883
ASV_128	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiales; f__Prymnesiales; g__OLI16029	0.946624199
ASV_129	d__Bacteria	0.999690714
