#OTU ID,C3G-01,C3G-13,C3N-10,C3T-08,C3T-20,C3T-32,C3PCR-Blk10,C1G-02,C1G-14,C1N-11,C1T-09,C1T-21,C1T-33,C1T-44,C1G-01,C3G-02,C3G-14,C3N-11,C3T-09,C3T-21,C3T-33,C3T-44,C1G-03,C1G-15,C1N-12,C1T-10,C1T-22,C1T-34,C1Blk-1,C1G-13,C3G-03,C3G-15,C3N-12,C3T-10,C3T-22,C3T-34,C3Blk-14,C1G-04,C1N-01,C1N-13,C1T-11,C1T-23,C1T-35,C1Blk-2,C1N-10,C3G-04,C3N-01,C3N-13,C3T-11,C3T-23,C3T-35,C3Blk-15,C1G-05,C1N-02,C1N-14,C1T-12,C1T-24,C1T-36,C1Blk-3,C1T-08,C3G-05,C3N-02,C3N-14,C3T-12,C3T-24,C3T-36,C3Blk-16,C1G-06,C1N-03,C1T-01,C1T-13,C1T-25,C1T-37,C1Blk-4,C1T-20,C3G-06,C3N-03,C3T-01,C3T-13,C3T-25,C3T-37,C3Blk-17,C1G-07,C1N-04,C1T-02,C1T-14,C1T-26,C1T-38,C1Blk-5,C1T-32,C3G-07,C3N-04,C3T-02,C3T-14,C3T-26,C3T-38,C3Blk-18,C1G-08,C1N-05,C1T-03,C1T-15,C1T-27,C1T-39,C1Blk-6,C1PCR-Blk1,C3G-08,C3N-05,C3T-03,C3T-15,C3T-27,C3T-39,C3Blk-19,C1G-09,C1N-06,C1T-04,C1T-16,C1T-28,C1T-40,C1PCR-Blk2,C3G-09,C3N-06,C3T-04,C3T-16,C3T-28,C3T-40,C3Blk-20,C1G-10,C1N-07,C1T-05,C1T-17,C1T-29,C1T-41,C1PCR-Blk3,C3G-10,C3N-07,C3T-05,C3T-17,C3T-29,C3T-41,C3PCR-Blk11,C1G-11,C1N-08,C1T-06,C1T-18,C1T-30,C1T-42,C1dummy1,C3G-11,C3N-08,C3T-06,C3T-18,C3T-30,C3T-42,C3dummy5,C1G-12,C1N-09,C1T-07,C1T-19,C1T-31,C1T-43,C1dummy2,C3G-12,C3N-09,C3T-07,C3T-19,C3T-31,C3T-43,C3dummy6,C2G-01,C2G-13,C2N-10,C2T-08,C2T-20,C2T-32,C2PCR-Bk8,C2G-02,C2G-14,C2N-11,C2T-09,C2T-21,C2T-33,C2T-44,C2G-03,C2G-15,C2N-12,C2T-10,C2T-22,C2T-34,C2Blk-7,C2G-04,C2N-01,C2N-13,C2T-11,C2T-23,C2T-35,C2Blk-8,C2G-05,C2N-02,C2N-14,C2T-12,C2T-24,C2T-36,C2Blk-9,C2PCR-Blk4,C2N-03,C2T-01,C2T-13,C2T-25,C2T-37,C2Blk-10,C2G-07,C2N-04,C2T-02,C2T-14,C2T-26,C2T-38,C2Blk-11,C2G-08,C2N-05,C2T-03,C2T-15,C2T-27,C2T-39,C2Blk-12,C2G-09,C2N-06,C2T-04,C2T-16,C2T-28,C2PCR-Blk6,C2Blk-13,C2G-10,C2N-07,C2T-05,C2T-17,C2PCR-Blk5,C2T-41,CPCR-Blk9,C2G-11,C2N-08,C2T-06,C2T-18,C2T-30,C2T-42,C2dummy3,C2G-12,C2N-09,C2T-07,C2T-19,C2T-31,C2PCR-Blk7,C2dummy4,Consensus Lineage
ZOTU221,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__; g__; s__
ZOTU106,71,0,0,0,0,0,0,0,0,2,0,14,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,18,1,0,0,0,0,34,0,37,0,0,0,12,11,0,0,0,0,0,0,15,36,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,25,83,0,0,0,0,0,13,54,30,0,0,0,0,0,0,24,0,0,0,0,0,0,54,0,0,0,0,0,0,10,28,0,0,0,0,1,42,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,36,182,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,142,0,56,0,0,0,19,33,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,11,18,34,0,0,0,0,0,0,39,0,0,0,0,0,0,18,60,0,0,0,0,0,1,0,0,0,0,0,0,21,82,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Barbus; s__Barbus_barbus
ZOTU80,24,268,0,0,0,0,0,22,0,53,0,0,1,0,86,20,0,0,0,0,0,0,0,31,0,0,38,0,0,35,0,0,0,0,0,0,0,0,20,0,0,0,132,32,22,0,23,0,13,0,0,0,11,158,0,0,0,0,0,32,18,0,0,0,0,0,0,0,0,14,0,6,0,0,0,34,0,0,10,0,0,0,0,0,14,0,0,0,0,60,0,0,10,0,0,19,0,37,80,25,0,18,17,5,0,81,22,0,11,0,0,1,0,2,43,0,0,61,0,0,0,27,0,0,0,0,23,5,0,0,55,0,0,0,34,0,17,0,14,0,0,25,0,0,0,0,1,32,0,0,20,23,0,0,0,0,0,10,61,0,0,0,0,0,0,0,0,1,0,0,10,0,11,0,0,0,0,0,0,17,16,9,0,0,0,15,16,0,0,0,0,0,34,0,0,3,0,47,5,0,1,25,0,0,0,0,25,5,0,0,0,0,1,37,0,0,0,0,64,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,19,0,0,0,0,29,23,1,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__
ZOTU72,12,218,0,0,0,0,0,20,0,30,0,0,0,0,43,6,0,0,0,0,0,0,0,13,0,0,32,0,0,13,0,0,0,0,0,0,0,0,16,0,0,0,64,18,10,0,20,0,4,0,0,0,5,109,0,3,0,0,0,22,12,0,0,0,0,0,0,0,0,2,0,3,0,0,1,27,0,0,5,0,0,0,0,0,19,0,0,0,0,31,0,0,6,0,0,22,0,37,47,14,0,24,18,3,1,41,5,0,4,0,0,0,0,3,41,0,0,50,0,0,0,19,0,0,0,0,21,6,0,0,40,0,0,0,15,0,11,0,15,0,0,17,0,0,0,0,0,8,0,0,4,19,0,0,0,0,0,12,35,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,0,17,6,6,0,0,0,17,10,0,0,0,0,0,39,0,0,6,0,21,6,0,0,23,0,0,0,0,20,7,0,0,0,0,5,28,0,0,0,0,61,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,19,0,0,0,0,19,13,2,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__; g__; s__
ZOTU193,15,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,24,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__Phoxinus; s__Phoxinus_phoxinus
ZOTU207,18,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,5,4,0,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__; f__; g__; s__
ZOTU82,14,0,0,977,0,1,0,2,861,0,0,1,0,1,0,0,0,285,3,0,0,0,0,106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,101,0,0,483,1,1,0,5,0,1,0,1,0,0,0,0,0,32,150,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,4972,3,4,0,0,3,1,2,2914,1,3,0,1,0,0,72,0,76,0,1,1,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,0,226,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,79,0,283,0,0,0,1165,0,0,0,10,0,0,0,0,0,1,4,0,142,1,0,1,0,0,2,0,0,4,0,638,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,177,0,208,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,181,0,0,0,0,0,0,4,0,0,68,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,313,0,0,0,0,0,0,0,0,0,68,0,1, k__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Cyprinidae; g__; s__
ZOTU184,2,9,1,5,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,2,1,1,0,0,1,0,1,1,2,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,3,0,1,0,0,0,2,1,0,3,0,0,0,4,2,0,0,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,2,0,1,3,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,0,1,0,0,0,0,0,0,1,5,4,0,0,0,1,3,0,2,2,1,1,0,11,0,1,1,3,0,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,4,0,1,0,0,1,0,3,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,5,2,1,0,0,2,0,1,3,2,5,5,0,0,2,11,1,0,1,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__; g__; s__
ZOTU4,1,2147,261,181,2,0,0,617,313,354,915,1,3151,0,1460,1,434,2,413,1,1,4476,217,2431,9551,790,1881,17742,4,84,2738,778,599,577,2,3,0,4301,334,3948,2,108,1019,1,311,9,1,1,0,0,355,0,4077,1300,2251,2772,1037,8248,2,761,0,1,2,1245,2329,1,0,5312,10,331,157,254,4,6,1,29656,3,2,3,1393,5,0,6879,6575,344,3,2,3,3,2898,378,2,5,750,3,1,0,122,1043,70,275,2,2167,0,1,111,1,0,1,0,1,0,2,401,297,1766,2187,1068,0,3,450,181,0,0,8,0,1181,336,176,694,2,421,0,120,819,0,0,2,357,0,5,2014,862,469,1905,241,3,1063,1,122,592,0,4,1,1229,884,6,0,1099,1056,0,162,0,1,0,0,3,0,0,0,678,1,0,2,0,1,1,1020,1,1,3,1,2,1,1,1,358,1,0,0,292,58,0,247,1587,0,1,1,0,0,658,1,0,0,1,2,0,0,1223,0,1,125,405,0,1,1,408,0,1,0,0,217,1,0,0,298,1,0,1,0,0,3,398,0,0,0,1,0,2,1,1,1313,0,0,0,0,0,1,0,1,1,0, k__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Ranidae; g__Rana; s__Rana_temporaria
ZOTU172,0,174,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,110,0,0,0,0,0,134,51,0,0,0,154,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,338,0,177,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Carnivora; f__Felidae; g__Felis; s__Felis_catus
ZOTU153,0,379,0,452,1,0,0,226,1,0,1,0,686,0,28,0,0,0,0,0,0,0,507,1,0,0,0,97,0,272,0,0,1,0,1,0,0,0,1,0,171,0,424,0,0,1,1,0,0,1,2820,0,47,221,0,1541,1,1,2,1867,296,364,2,207,0,1,0,37,0,339,1196,1,1,1,1020,2,1,134,1,0,1,0,0,0,0,0,0,0,0,0,50,0,0,0,0,1,0,127,148,702,0,0,465,0,1,78,0,241,0,0,0,0,97,142,345,1,1,0,0,0,0,47,0,1,0,0,0,262,217,209,0,0,0,0,0,126,205,0,527,0,225,1,1048,0,0,2,0,106,0,303,0,0,2,0,106,0,0,114,0,2,0,196,0,279,297,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,28,62,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,348,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,493,1,1,0,0,1,0,536,0,327,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,169,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Anseriformes; f__Anatidae; g__; s__
ZOTU79,0,267,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,215,0,0,0,0,612,0,0,115,0,80,0,103,0,0,0,204,0,0,0,265,0,61,0,72,0,0,0,0,0,2,95,0,60,0,0,0,0,0,291,0,0,448,0,0,0,0,0,2,0,36,0,141,0,2,0,1,0,0,0,0,0,0,739,0,301,2,300,1,0,0,2,34,155,0,0,0,0,0,0,85,0,180,0,245,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,395,0,0,1,0,0,0,0,0,0,0,91,0,0,101,0,0,0,494,0,0,2,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,1,448,0,1,0,1,0,84,0,0,1,0,0,237,0,0,0,0,0,0,301,0,0,0,127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,1,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__; g__; s__
ZOTU29,0,159,0,0,0,0,0,139,1,0,1,0,197,0,0,0,0,0,0,0,0,0,0,0,234,0,196,0,0,0,0,0,0,0,0,2,0,0,0,58,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,341,0,0,0,0,108,0,0,0,118,0,0,0,0,0,100,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,0,0,0,0,0,295,0,0,59,0,0,0,1,0,1,0,0,0,0,278,0,74,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,145,0,0,0,0,163,0,0,0,1,0,0,155,0,1,0,239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,0,0,172,0,277,0,21,0,0,0,0,103,0,0,0,0,0,173,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Turdidae; g__Turdus; s__Turdus_philomelos
ZOTU105,0,28,34,17,0,0,0,29,0,16,1,9,83,15,9,2,0,46,9,0,0,0,24,14,29,34,7,30,0,34,14,0,0,35,4,16,0,58,6,3,7,6,12,0,36,4,72,0,52,0,127,0,38,30,0,38,21,0,0,110,27,30,0,43,0,36,0,1,26,8,46,13,0,0,62,21,37,15,5,4,45,0,39,15,34,0,0,0,0,359,63,8,0,0,39,0,0,7,27,34,0,13,46,0,0,15,0,16,0,0,23,0,1,2,10,3,1,0,0,0,0,5,0,13,62,0,4,10,11,25,0,80,0,0,16,20,23,0,49,0,23,0,57,1,0,12,0,14,0,133,1,0,0,0,30,7,0,17,58,12,0,7,49,34,16,0,0,0,0,2,14,38,1,22,0,0,0,6,25,22,0,2,0,22,0,0,6,0,4,0,23,1,2,0,2,2,0,0,0,0,16,0,0,0,0,0,2,2,1,9,0,2,0,4,9,2,56,0,0,0,0,31,15,13,0,45,0,0,4,23,0,0,3,1,0,0,0,1,0,2,1,0,0,0,0,0,2,0,2,0,4,0, k__Eukaryota; p__Chordata; c__Mammalia; o__Artiodactyla; f__Bovidae; g__Bos; s__Bos_taurus
ZOTU144,0,2,0,0,0,0,0,0,0,20,0,0,4,0,2,0,0,7,7,0,0,0,14,11,0,2,0,0,0,3,0,0,0,4,9,0,0,4,0,1,0,1,0,0,3,0,0,0,18,0,0,0,1,12,0,0,7,0,0,11,0,0,0,26,0,6,0,0,68,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,377,29,0,1,0,0,0,0,2,23,4,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,12,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Turdidae; g__; s__
ZOTU126,0,3,0,1,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,6,0,0,0,39,0,0,0,17,0,0,0,0,0,3,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,6,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Anseriformes; f__; g__; s__
ZOTU179,0,5,0,0,0,0,0,0,0,329,0,3,1,0,20,0,0,1,111,0,0,0,5,246,0,0,0,0,0,2,0,0,0,2,166,0,0,5,0,0,0,0,0,0,70,0,0,0,161,0,2,0,38,192,0,0,193,0,0,7,0,0,0,645,0,1,0,0,1167,0,0,3,0,0,0,0,1,32,0,0,0,0,777,4,84,2,1,5,0,10696,622,3,6,0,0,1,1,2,223,0,0,4,0,0,0,0,0,38,1,0,0,0,0,1,1,88,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Turdidae; g__; s__
ZOTU202,0,8,6,5,0,0,0,4,0,6,1,2,3,0,1,6,0,1,1,1,1,0,4,2,2,2,10,2,0,1,10,1,1,5,0,2,0,3,0,0,1,0,8,0,3,3,1,1,1,0,2,0,2,0,1,0,1,2,0,6,3,2,2,3,3,1,0,3,0,0,2,1,0,0,1,0,0,1,3,2,1,0,2,2,1,0,0,0,1,2,6,2,1,0,2,3,0,0,1,0,0,2,3,0,0,0,4,0,0,1,2,0,1,4,0,4,0,0,0,2,3,0,3,1,1,0,6,3,2,2,0,6,0,0,4,0,1,0,5,0,3,1,5,3,2,1,0,2,0,2,2,0,0,0,4,1,0,1,2,1,0,6,1,0,2,3,0,0,0,0,3,8,2,1,2,0,8,0,2,0,1,2,0,7,2,2,0,2,2,0,1,0,1,0,1,3,0,2,1,1,3,3,3,0,1,0,0,2,2,1,0,1,4,0,0,2,1,0,0,3,0,0,1,1,0,6,1,0,0,1,0,0,2,2,0,1,0,5,0,3,2,1,3,2,1,0,4,6,0,2,1,0, k__Eukaryota; p__Chordata; c__Mammalia; o__; f__; g__; s__
ZOTU177,0,11,2,1,0,0,0,4,1,5,3,0,49,0,3,0,1,0,3,0,0,7,1,10,48,2,8,35,0,0,14,0,3,1,0,0,0,11,0,22,0,4,9,0,0,0,0,0,0,0,5,0,11,5,6,12,4,32,0,3,0,0,0,4,9,0,0,7,0,1,1,0,0,0,0,75,0,0,0,3,0,0,23,25,2,0,0,0,0,6,0,0,0,7,0,0,0,0,5,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,1,5,5,3,0,0,1,0,0,0,0,0,11,3,0,8,0,3,0,0,4,0,0,0,0,0,0,11,5,2,7,2,0,6,0,0,3,0,0,0,11,5,0,0,25,7,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,3,10,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Ranidae; g__Rana; s__Rana_temporaria
ZOTU235,0,4,231,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,4,0,1,1,0,179,1,2,0,0,0,9,0,0,0,20,0,1,0,84,0,0,0,0,1,0,3,0,96,0,0,0,0,0,8,0,0,661,0,0,0,88,0,415,0,0,8,83,0,226,0,1,0,0,0,0,0,0,11,0,14,0,12,0,1,0,0,21,42,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,159,0,0,0,0,264,0,0,0,0,0,0,139,92,1,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,64,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,408,0,0,0,0,810,0,0,0,0,0,0,1,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__; g__; s__
ZOTU250,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Aves; o__Passeriformes; f__Sturnidae; g__Sturnus; s__Sturnus_vulgaris
ZOTU37,0,0,357,0,0,0,0,65,146,574,113,3,192,2,820,1,2,2,679,1,1,1,161,4455,747,134,1,54,1,225,2,375,64,1,0,0,0,1,403,274,0,0,319,0,117,0,2,15,0,0,148,0,64,798,2,41,350,0,0,67,0,0,0,59,916,1,1,1389,281,114,1,0,2,2,2,1741,0,3,0,0,0,0,204,1,336,1,1,1,1,97,1,0,0,0,0,1,0,33,247,80,1,2,793,1,1,0,1,47,0,1,51,0,4,54,73,1,208,43,0,1,0,0,1,0,2,0,169,69,1,667,1,171,1,1,0,1,0,0,649,0,393,1,122,67,0,1,0,1,0,1,101,0,439,0,460,206,0,1,0,0,1,1,97,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,229,0,0,0,1,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,1,0,0,0,0,0,0,0,119,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0, k__Eukaryota; p__Chordata; c__Mammalia; o__; f__; g__; s__
