"","SampleID","PC1","PC2","PC3","seqID","year","Dataset","project"
"63","CN18Sc15_2_eDNA",0.0395163459882894,0.129327146789684,0.0406404747466523,NA,2018,"Merged2018","CN18S"
"64","CN18Sc15_8_eDNA",-0.0466506861269446,-0.110836129938644,0.00420162372676785,NA,2018,"Merged2018","CN18S"
"65","CN18Sc18_2_eDNA",0.0343610145194699,0.128202308019976,0.018420024072196,NA,2018,"Merged2018","CN18S"
"66","CN18Sc18_8_eDNA",0.0215681370664034,-0.0530246481477608,-0.140031603365067,NA,2018,"Merged2018","CN18S"
"67","CN18Sc27_2_eDNA",0.0269804363693649,0.169061802382976,0.131865887174064,NA,2018,"Merged2018","CN18S"
"68","CN18Sc27_8_eDNA",-0.0149255475134664,-0.103697114760597,-0.0533432339742178,NA,2018,"Merged2018","CN18S"
"69","Flyer18Fc03_10_1",-0.0437880035931035,-0.0778025836606563,-0.0138609866080016,NA,NA,"Merged2018","unknown"
"70","Flyer18Fc03_3_1",-0.0157445743712147,0.127277664108711,-0.0302086290745926,NA,NA,"Merged2018","unknown"
"71","Flyer18Fc09_10_1",0.01042274097298,0.0692633733449912,-0.0437642847552144,NA,NA,"Merged2018","unknown"
"72","Flyer18Fc09_4_1",-0.0281229991942733,-0.0684286744366879,-0.00685807015797215,NA,NA,"Merged2018","unknown"
"73","Flyer18Fc13_10_1",0.00462816357395355,0.0982650813001494,-0.00373899008030549,NA,NA,"Merged2018","unknown"
"74","Flyer18Fc13_3_1",-0.00806712386938606,-0.0466631137166358,-0.00597941855094246,NA,NA,"Merged2018","unknown"
"75","Lasker18Sc122_17",-0.00698384567453801,-0.0166225268461539,-0.0109902580122926,"Lasker18Sc122_17_D0057_VV",2018,"Merged2018","Lasker18S"
"76","Lasker18Sc122_19",-0.00462569425822943,-0.0188358708067918,-0.0147013433333362,"Lasker18Sc122_19_D0058_VV",2018,"Merged2018","Lasker18S"
"77","Lasker18Sc122_3",-0.0192761771071712,0.111684743841645,-0.0772692761684834,"Lasker18Sc122_3_D0052_VV",2018,"Merged2018","Lasker18S"
"78","Lasker18Sc122_5",-0.0188581018883129,0.094659049420886,-0.0068671898533094,"Lasker18Sc122_5_D0053_VV",2018,"Merged2018","Lasker18S"
"79","Lasker18Sc123_17",-0.0890344783017869,-0.0761282102720543,-0.00287311811274114,"Lasker18Sc123_17_D0068_VV",2018,"Merged2018","Lasker18S"
"80","Lasker18Sc123_19",-0.0935262436530014,-0.0788479250975198,-0.00248301602907412,"Lasker18Sc123_19_D0069_VV",2018,"Merged2018","Lasker18S"
"81","Lasker18Sc123_3",-0.0292107054252104,0.09461263024683,-0.072702552764056,"Lasker18Sc123_3_D0063_VV",2018,"Merged2018","Lasker18S"
"82","Lasker18Sc123_5",-0.0235773390543747,0.0923301491284683,-0.0842377147506961,"Lasker18Sc123_5_D0064_VV",2018,"Merged2018","Lasker18S"
"83","Lasker18Sc124_17",-0.000636632836398392,-0.0123849869469017,0.0277741450462295,"Lasker18Sc124_17_D0078_VV",2018,"Merged2018","Lasker18S"
"84","Lasker18Sc124_19",0.00811443110301112,-0.00965666510240688,0.0390647428028009,"Lasker18Sc124_19_D0079_VV",2018,"Merged2018","Lasker18S"
"85","Lasker18Sc124_3",-0.0313233126820772,0.116759065578026,0.0165958305006624,"Lasker18Sc124_3_D0073_VV",2018,"Merged2018","Lasker18S"
"86","Lasker18Sc124_5",-0.049033270758127,0.105125194779635,0.0460161715708439,"Lasker18Sc124_5_D0074_VV",2018,"Merged2018","Lasker18S"
"87","Lasker18Sc126_15",-0.0584722214135133,-0.052439691175307,-0.0327397982484034,NA,NA,"Merged2018","Lasker18S"
"88","Lasker18Sc126_15_turt",-0.0554240133798194,-0.0577223946368206,-0.0372446598841267,NA,NA,"Merged2018","Lasker18S"
"89","Lasker18Sc126_17",-0.0493928441019231,-0.0682663666525114,-0.00981189612178556,"Lasker18Sc126_17_D0090_VV",2018,"Merged2018","Lasker18S"
"90","Lasker18Sc126_17_turt",-0.0462586802864251,-0.0719857157000431,-0.0426520118236688,NA,NA,"Merged2018","Lasker18S"
"91","Lasker18Sc126_3",-0.0518053619697649,0.119771536162222,0.0298246835233091,"Lasker18Sc126_3_D0085_VV",2018,"Merged2018","Lasker18S"
"92","Lasker18Sc126_5",-0.0582233734823873,0.109314152235921,0.00552306981643447,"Lasker18Sc126_5_D0086_VV",2018,"Merged2018","Lasker18S"
"93","Lasker18Sc127_17",-0.0830048689063854,-0.0731389150603521,0.0463327120658612,"Lasker18Sc127_17_D0100_VV",2018,"Merged2018","Lasker18S"
"94","Lasker18Sc127_19",-0.0622999505840413,-0.0829886138276211,-0.00278453101976567,"Lasker18Sc127_19_D0101_VV",2018,"Merged2018","Lasker18S"
"95","Lasker18Sc127_3",-0.0529692982743176,0.12687111833209,-0.0172906455215133,"Lasker18Sc127_3_D0095_VV",2018,"Merged2018","Lasker18S"
"96","Lasker18Sc127_5",-0.0559668478793183,0.127966911133106,-0.0153940325544129,"Lasker18Sc127_5_D0096_VV",2018,"Merged2018","Lasker18S"
"97","Lasker18Sc128_16",-0.0163728843007359,-0.0642814356767351,-0.0475821147704767,"Lasker18Sc128_16_D0110_VV",2018,"Merged2018","Lasker18S"
"98","Lasker18Sc128_19",-0.0228494533396447,-0.066851768118477,-0.0123021187572821,"Lasker18Sc128_19_D0111_VV",2018,"Merged2018","Lasker18S"
"99","Lasker18Sc128_3",-0.059905906901274,0.117609661962306,0.037194810388337,"Lasker18Sc128_3_D0105_VV",2018,"Merged2018","Lasker18S"
