#OTU ID,B3G-01,B3G-13,B3N-10,B3T-08,B3T-20,B3T-32,B3PCR-Blk10,B3G-02,B3G-14,B3N-11,B3T-09,B3T-21,B3T-33,B3T-44,B3G-03,B3G-15,B3N-12,B3T-10,B3T-22,B3T-34,B3Blk-14,B3G-04,B3N-01,B3N-13,B3T-11,B3T-23,B3T-35,B3Blk-15,B3G-05,B3N-02,B3N-14,B3T-12,B3T-24,B3T-36,B3Blk-16,B3G-06,B3N-03,B3T-01,B3T-13,B3T-25,B3T-37,B3Blk-17,B3G-07,B3N-04,B3T-02,B3T-14,B3T-26,B3T-38,B3Blk-18,B3G-08,B3N-05,B3T-03,B3T-15,B3T-27,B3T-39,B3Blk-19,B3G-09,B3N-06,B3T-04,B3T-16,B3T-28,B3T-40,B3Blk-20,B3G-10,B3N-07,B3T-05,B3T-17,B3T-29,B3T-41,B3PCR-Blk11,B3G-11,B3N-08,B3T-06,B3T-18,B3T-30,B3T-42,B3dummy5,B3G-12,B3N-09,B3T-07,B3T-19,B3T-31,B3T-43,B3dummy6,B2G-01,B2G-13,B2N-10,B2T-08,B2T-20,B2T-32,B2PCR-Blk8,B1G-01,B1G-13,B1N-10,B1T-08,B1T-20,B1T-32,B1PCR-Blk1,B2G-02,B2G-14,B2N-11,B2T-09,B2T-21,B2T-33,B2T-44,B1G-02,B1G-14,B1N-11,B1T-09,B1T-21,B1T-33,B1T-44,B2G-03,B2G-15,B2N-12,B2T-10,B2T-22,B2T-34,B2Blk-7,B1G-03,B1G-15,B1N-12,B1T-10,B1T-22,B1T-34,B1Blk-1,B2G-04,B2N-01,B2N-13,B2T-11,B2T-23,B2T-35,B2Blk-8,B1G-04,B1N-01,B1N-13,B1T-11,B1T-23,B1T-35,B1Blk-2,B2G-05,B2N-02,B2N-14,B2T-12,B2T-24,B2T-36,B2Blk-9,B1G-05,B1N-02,B1N-14,B1T-12,B1T-24,B1T-36,B1Blk-3,B2PCR-Blk4,B2N-03,B2T-01,B2T-13,B2T-25,B2T-37,B2Blk-10,B1G-06,B1N-03,B1T-01,B1T-13,B1T-25,B1T-37,B1Blk-4,B2G-07,B2N-04,B2T-02,B2T-14,B2T-26,B2T-38,B2Blk-11,B1G-07,B1N-04,B1T-02,B1T-14,B1T-26,B1T-38,B1Blk-5,B2G-08,B2N-05,B2T-03,B2T-15,B2T-27,B2T-39,B2Blk-12,B1G-08,B1N-05,B1T-03,B1T-15,B1T-27,B1T-39,B1Blk-6,B2G-09,B2N-06,B2T-04,B2T-16,B2T-28,B2PCR-Blk6,B2Blk-13,B1G-09,B1N-06,B1T-04,B1T-16,B1T-28,B1T-40,B1PCR-Blk2,B2G-10,B2N-07,B2T-05,B2T-17,B2PCR-Blk5,B2T-41,BPCR-Blk9,B1G-10,B1N-07,B1T-05,B1T-17,B1T-29,B1T-41,B1PCR-Blk3,B2G-11,B2N-08,B2T-06,B2T-18,B2T-30,B2T-42,B2dummy3,B1G-11,B1N-08,B1T-06,B1T-18,B1T-30,B1T-42,B1dummy1,B2G-12,B2N-09,B2T-07,B2T-19,B2T-31,B2PCR-Blk7,B2dummy4,B1G-12,B1N-09,B1T-07,B1T-19,B1T-31,B1T-43,B1dummy2,Consensus Lineage
ZOTU5153,0,0,3,2,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,45,0,0,1,0,4,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,4,0,0,1,1,0,4,1,1,0,0,0,2,2,0,9,1,2,0,0,0,1,0,6,0,0,0,7,4,0,1,1,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,0,2,4,0,0,4,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,3,2,0,0,0,2,1,1,3,1,0,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,2,1,5,1,2,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5841,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,6,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5785,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Arthropoda; c__; o__; f__; g__; s__
ZOTU2542,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,189,0,0,0,10,0,0,11,0,0,0,0,0,22,0,0,6,0,0,1,209,0,0,0,7,0,0,0,0,0,0,9,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,68,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4573,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,5,23,8,0,4,1,0,0,0,0,0,0,0,9,0,1,20,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,104,16,0,9,0,0,0,0,0,0,0,0,0,0,5,9,0,2,0,0,0,0,0,0,1,0,0,0,11,7,1,0,0,0,0,0,0,0,0,0,2,0,33,2,2,0,0,0,0,0,0,0,0,0,3,0,7,6,0,4,0,2,0,0,0,0,0,0,0,0,7,4,5,0,0,0,0,0,0,0,0,0,0,0,17,4,0,1,0,0,0,0,0,0,0,0,0,0,5,1,8,1,0,1,0,0,0,0,0,0,0,0,27,7,1,10,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5219,0,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,5,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,0,17,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,6,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU6103,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,2,0,3,0,0,0,12,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,7,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,1,3,0,8,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,14,3,0,0,3,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4914,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,11,0,0,0,5,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,36,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,4,2,0,2,0,0,0,0,0,2,2,6,0,1,6,0,2,1,0,0,10,0,5,0,3,0,1,5,5,0,15,1,0,0,0,0,0,0,1,0,0,22,8,0,1,3,0,0,0,34,0,0,1,0,2,16,12,1,3,23,0,0,5,0,0,1,0,0,5,25,1,5,0,0,0,0,0,0,0,0,0,0,1,3,1,3,5,0,0,0,0,0,1,5,0,0,9,12,11,13,15,1,0,0,0,0,2,2,0,0,0,8,0,0,8,0,0,0,0,0,0,0,1,0,1,2,0,5,4,0,0,0,0,0,0,5,3,0,2,1,0,9,0,0,0,0,2,1,0,1,0,0,9,5,3,7,4,9,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU1341,0,0,1,5,12,0,1,0,0,0,1,0,0,0,1,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,12,0,0,80,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,2,0,2,1,2,0,1,0,0,0,1,0,2,2,9,0,1,12,7,0,6,4,1,0,0,0,0,1,0,0,27,0,0,2,2,0,0,0,13,0,270,0,15,0,9,0,0,3,1,0,1,2,0,3,0,1,0,0,13,5,0,1,0,3,0,0,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,1,38,0,0,5,0,3,0,2,0,0,12,3,0,5,0,14,0,1,4,6,0,2,1,0,0,0,0,3,0,10,0,7,3,1,0,0,6,0,0,0,0,0,1,0,0,4,7,1,0,0,0,1,0,0,2,0,0,2,0,7,3,2,0,0,2,0,0,0,0,268,4,0,0,5,1,5,0,1,0,0,0,1,0,2,4,1,0,10,3,5,2,3,0,0, k__Eukaryota; p__Annelida; c__Clitellata; o__Haplotaxida; f__Tubificidae; g__Nais; s__Nais_alpina
ZOTU2050,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,7,22,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,1,0,0,628,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,3,0,6,0,3,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,3,1,9,3,0,0,3,0,0,0,0,1,0,0,9,3,0,0,0,0,0,0,0,5,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5359,0,0,1,0,0,0,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU2959,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,1,0,0,0,7,0,1,0,0,0,0,5,3,0,0,0,0,0,0,0,1,1,0,13,3,4,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,28,0,1,0,0,0,0,0,0,27,0,4,0,0,8,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,10,0,1,0,0,0,0,0,0,0,14,1,11,0,0,3,1,0,0,0,0,1,0,0,9,5,17,0,0,0,0,0,0,0,0,0,3,0,0,2,3,6,0,3,1,0,0,0,0,11,0,0,4,1,0,16,1,0,0,0,0,0,0,0,0,0,4,1,14,50,1,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU3238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU3120,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__Arthropoda; c__; o__; f__; g__; s__
ZOTU6546,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,0,0,18,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,5,9,0,0,0,0,0,1,0,2,0,0,0,5,0,9,0,0,0,63,0,0,0,0,6,0,0,0,2,5,0,0,1,4,8,0,6,0,0,0,0,38,4,14,3,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,8,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,4,1,1,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU3881,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,7,0,1,0,1,0,5,0,0,2,0,0,0,5,1,0,0,0,4,0,163,0,0,5,0,59,0,0,0,0,0,0,0,0,0,24,3,0,0,5,0,1,0,0,5,0,11,0,0,0,0,0,0,69,0,175,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU5929,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,20,0,0,0,0,0,0,0,0,0,2,12,0,1,0,0,0,0,0,38,0,0,0,0,11,1,0,1,9,1,0,0,0,0,0,0,0,1,22,3,0,2,0,0,0,0,0,0,0,7,0,0,5,9,0,1,6,0,0,0,0,0,0,0,0,5,6,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24,0,0,0,0,0,0,0,0,0,0,9,0,3,33,0,0,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,67,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU1122,0,0,2,0,0,64,0,0,0,0,0,9,0,28,0,0,31,0,0,0,0,0,42,24,0,18,7,0,0,46,115,1,54,0,0,3,3,9,0,0,0,0,1,40,1,15,51,0,0,0,17,2,32,0,6,0,3,13,1,2,0,0,0,0,0,0,11,0,0,0,0,47,0,3,0,0,0,37,1,17,10,0,0,0,0,0,2,0,34,48,0,0,0,0,0,11,9,0,0,0,1,0,7,22,22,0,3,11,0,18,0,5,17,0,16,244,1,4,0,22,0,6,1,0,13,0,0,3,9,1,0,1,0,1,4,8,36,55,4,0,0,0,181,12,0,5,0,0,4,14,0,3,11,0,0,15,0,2,0,0,0,0,3,0,3,0,0,0,0,16,0,75,1,6,0,0,1,0,2,10,2,0,0,1,0,2,0,40,0,0,1,8,1,1,4,0,0,0,0,4,22,0,0,0,5,7,0,22,2,1,0,1,0,1,0,8,0,0,6,0,1,0,2,0,0,1,0,0,0,0,0,0,45,0,1,7,0,0,0,5,0,0,3,0,0,1,12,26,13,5,1,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU4817,0,0,1,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,11,0,2,0,7,0,0,17,0,5,0,21,0,1,26,0,0,1,29,0,0,0,0,4,0,3,0,0,0,0,10,21,0,0,0,0,6,0,0,2,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,9,0,0,0,8,0,0,6,0,0,1,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,3,0,6,0,0,13,0,0,0,14,0,0,0,0,7,6,3,6,0,0,0,0,6,0,0,0,4,5,26,0,2,4,0,0,1,0,1,0,0,0,1,3,1,4,0,0,0,0,23,0,0,0,0,0,2,12,15,6,0,1,0,0,0,0,27,0,0,0,0,0,4,0,2,0,0,0,0,0,1,5,0,0,0,21,10,12,15,0,0,0,0,0,0,0,3,0,8,38,3,0,0,0,0,0,0,0,0,0,0,0,35,8,2,0,0,0,0,0,3,0,0,0,0,0,8,2,0,1,0,0,0, k__Eukaryota; p__Arthropoda; c__; o__; f__; g__; s__
ZOTU3946,0,0,1,0,0,0,0,0,0,0,4,0,0,8,0,0,0,37,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,16,1,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,6,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,14,2,9,14,0,0,1,0,0,0,0,1,17,0,5,5,1,0,0,0,0,0,425,0,1,0,0,6,2,0,23,0,0,0,0,0,1,0,0,0,88,0,0,0,38,0,0,0,0,0,0,0,7,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,9,31,0,8,8,0,0,1,0,0,0,0,5,0,9,5,12,24,0,0,0,0,0,0,0,13,0,0,0,1,0,1,1,14,0,0,0,0,0,2,0,0,8,7,4,0,19,0,1,0,0,0,0,0,0,0,0,9,11,0,16,1,0,0,0,0,0,0,0,0,21,2,1,18,0,1,0,0,2,0,0,0,0,0,5,2,3,3,9,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU1727,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
ZOTU6276,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, k__Eukaryota; p__; c__; o__; f__; g__; s__
