,Lasker18Sc122_3_D0052_UU,Lasker18Sc122_5_D0053_UU,Lasker18Sc122_17_D0057_UU,Lasker18Sc122_19_D0058_UU,Lasker18Sc123_3_D0063_UU,Lasker18Sc123_5_D0064_UU,Lasker18Sc123_17_D0068_UU,Lasker18Sc123_19_D0069_UU,Lasker18Sc124_3_D0073_UU,Lasker18Sc124_5_D0074_UU,Lasker18Sc124_17_D0078_UU,Lasker18Sc124_19_D0079_UU,Lasker18Sc126_3_D0085_UU,Lasker18Sc126_5_D0086_UU,Lasker18Sc126_17_D0090_UU,Lasker18Sc127_3_D0095_UU,Lasker18Sc127_5_D0096_UU,Lasker18Sc127_17_D0100_UU,Lasker18Sc127_19_D0101_UU,Lasker18Sc128_3_D0105_UU,Lasker18Sc128_7_D0107_UU,Lasker18Sc128_16_D0110_UU,Lasker18Sc128_19_D0111_UU,Lasker18Sc129_3_D0116_UU,Lasker18Sc129_5_D0117_UU,Lasker18Sc129_17_D0121_UU,Lasker18Sc129_19_D0122_UU,Lasker18Sc130_3_D0127_UU,Lasker18Sc130_5_D0128_UU,Lasker18Sc130_17_D0132_UU,Lasker18Sc130_19_D0133_UU,Lasker18Sc132_3_D0137_UU,Lasker18Sc132_5_D0138_UU,Lasker18Sc132_17_D0142_UU,Lasker18Sc132_19_D0143_UU,Lasker18Sc133_3_D0147_UU,Lasker18Sc133_5_D0148_UU,Lasker18Sc133_17_D0152_UU,Lasker18Sc133_19_D0153_UU,Lasker18Sc134_3_D0158_UU,Lasker18Sc134_5_D0159_UU,Lasker18Sc134_17_D0163_UU,Lasker18Sc134_19_D0164_UU,Lasker18Sc135_17_D0173_UU,Lasker18Sc135_19_D0174_UU,Lasker18Sc145_3_D0219_UU,Lasker18Sc145_5_D0220_UU,Lasker18Sc145_17_D0224_UU,Lasker18Sc145_19_D0225_UU,Lasker18Sc150_3_D0229_UU,Lasker18Sc150_5_D0230_UU,Lasker18Sc150_17_D0234_UU,Lasker18Sc150_19_D0235_UU,Lasker18Sc151_3_D0240_UU,Lasker18Sc151_5_D0241_UU,Lasker18Sc151_17_D0245_UU,Lasker18Sc151_19_D0246_UU,Lasker18Sc153_3_D0250_UU,Lasker18Sc153_5_D0251_UU,Lasker18Sc153_17_D0255_UU,Lasker18Sc153_19_D0256_UU,Lasker18Sc154_3_D0260_UU,Lasker18Sc154_5_D0261_UU,Lasker18Sc154_17_D0265_UU,Lasker18Sc154_19_D0266_UU,Lasker18Sc158_3_D0270_UU,Lasker18Sc158_5_D0271_UU,Lasker18Sc158_17_D0275_UU,Lasker18Sc158_19_D0276_UU
ASV_35,207,373,0,4,2201,2228,4,2,165,328,4,1,1981,1279,5,1379,1586,1,2,920,1099,1,3,496,638,0,4,824,779,6,0,876,698,0,2,1642,1418,2,2,120,67,2,5,4,3,1218,448,1,1,630,475,1,4,957,438,0,0,476,590,1,1,804,778,7,4,719,589,1,1
ASV_36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,1,293,304,0,4,344,308,0,3,4,0,57,26,0,0,75,121,10,7,3,67,69,33,875,537,0,0,149,281,15,23,41,45,0,0,934,1844,74,366,1619,1317
ASV_37,15,0,0,0,13,9,0,0,30,162,0,0,10,0,0,38,6,0,0,37,73,0,0,0,0,0,0,0,6,0,0,15,50,0,0,33,27,0,0,0,0,0,0,1,0,21,0,0,0,9,0,0,0,123,23,0,0,2,8,0,0,57,42,0,0,0,6,0,0
ASV_38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,90,0,0,8,3,0,1,104,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,109,0,0,0,231,0,0,0,1356,0
ASV_39,1,6,2167,726,2,0,490,410,1,2,0,0,0,0,472,0,0,369,92,0,0,1,67,3,335,1124,0,0,1,0,258,0,0,0,0,0,0,0,0,737,2,0,0,0,41,1,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,227
ASV_40,5,12,4,4,9,2,174,53,3,1,454,0,1,3,164,2,472,922,149,3,0,19,2,1295,2923,2687,667,5,0,50,232,8,0,4,1,0,9,300,142,10318,2156,9,0,692,522,6675,8,42,299,258,3,864,1,3,3,3,0,3,25,255,836,4,2,1,15,4,370,442,305
ASV_42,3,5,810,1132,13,7,0,1,4,2,851,690,5,4,213,3,0,5,26,3,4,729,1287,20,51,235,232,48,50,2,1,16,37,113,117,42,28,19,35,162,96,364,181,1,0,30,26,0,2,149,145,2,2,50,6,0,1,158,195,4,3,12,17,9,16,71,103,7,7
ASV_43,78,72,133,148,34,7,0,0,11,2,1,5,0,0,0,2,20,0,7,0,4,0,0,4,16,7,74,32,51,2,0,6,3,0,0,3,1496,216,8,87,52,50,6,6,0,6,1,0,0,129,16,25,0,6,4,0,0,10,5,2,2,7,15,2,6,13,11,0,5
ASV_44,0,3,486,602,15,15,7,4,0,0,119,125,2,0,176,0,0,1,32,0,1,308,573,2,8,145,125,53,66,8,0,13,29,224,221,40,36,46,71,216,177,1047,435,0,3,50,16,0,1,174,146,12,6,23,15,2,0,242,257,2,0,19,18,9,29,65,124,12,13
ASV_45,272,844,0,0,26,13,0,1,307,295,0,0,35,16,0,26,24,0,0,17,15,0,0,28,28,0,0,446,299,2,2,522,350,0,0,670,703,0,1,40,26,0,4,0,0,653,255,0,0,240,257,0,0,741,344,2,0,167,209,2,1,343,345,3,0,141,149,0,0
