,CN18Sc09_2_eDNA_Z,CN18Sc10_2_eDNA_Z,CN18Sc14_2_eDNA_Z,CN18Sc14_8_eDNA_Z,CN18Sc15_2_eDNA_Z,CN18Sc15_8_eDNA_Z,CN18Sc18_2_eDNA_Z,CN18Sc18_8_eDNA_Z,CN18Sc27_2_eDNA_Z,CN18Sc27_8_eDNA_Z,CN18SESPkoa_SC49_Z,CN18SESPkoa_SC47_Z,CN18SESPkoa_SC45_Z,CN18SESPkoa_SC44_Z,CN18SESPkoa_SC42_Z,CN18SESPkoa_SC41_Z,CN18SESPkoa_SC40_Z,CN18SESPkoa_SC39_Z,CN18SESPkoa_SC37_Z,CN18SESPkoa_SC36_Z,CN18Fc12_8_eDNA_HH,CN18Fc30_4_eDNA_HH,CN18Fc43_5_eDNA_HH,CN18Fc19_5_eDNA_HH,CN18Fc32_4_eDNA_HH,CN18Fc44_8_eDNA_HH,CN18Fc21_6_eDNA_HH,CN18Fc33_5_eDNA_HH,CN18Fc46_8_eDNA_HH,CN18Fc22_6_eDNA_HH,CN18Fc47_6_eDNA_HH,CN18Fc24_6_eDNA_HH,CN18Fc36_6_eDNA_HH,CN18Fc49_6_eDNA_HH,CN18Fc25_5_eDNA_HH,CN18Fc38_5_eDNA_HH,CN18Fc51_5_eDNA_HH,CN18Fc27_4_eDNA_HH,CN18Fc40_6_eDNA_HH,CN18Fc29_6_eDNA_HH,CN18Fc41_6_eDNA_HH,CN18Sc09_2_eDNA_AA,CN18Sc10_2_eDNA_AA,CN18Sc14_2_eDNA_AA,CN18Sc14_8_eDNA_AA,CN18Sc15_2_eDNA_AA,CN18Sc15_8_eDNA_AA,CN18Sc18_2_eDNA_AA,CN18Sc18_8_eDNA_AA,CN18Sc27_2_eDNA_AA,CN18Sc27_8_eDNA_AA,CN18SESPkoa_SC49_AA,CN18SESPkoa_SC47_AA,CN18SESPkoa_SC45_AA,CN18SESPkoa_SC44_AA,CN18SESPkoa_SC42_AA,CN18SESPkoa_SC41_AA,CN18SESPkoa_SC40_AA,CN18SESPkoa_SC39_AA,CN18SESPkoa_SC37_AA,CN18SESPkoa_SC36_AA,CN18FESPkoa_SC58_CC,CN18FESPkoa_SC57_CC,CN18FESPkoa_SC56_CC,CN18FESPkoa_SC55_CC,CN18FESPkoa_SC53_CC,CN18FESPkoa_SC52_CC,CN18FESPkoa_SC49_CC,CN18FESPkoa_SC47_CC,CN18FESPkoa_SC46_CC,CN18FESPkoa_SC44_CC,CN18FESPkoa_SC43_CC,CN18FESPkoa_SC41_CC,CN18FESPkoa_SC40_CC,CN18FESPkoa_SC37_CC,CN18FESPkoa_SC34_CC,CN18FESPkoa_SC32_CC,CN18FESPkoa_SC31_CC,CN18FESPkoa_SC30_CC,CN18FESPkoa_SC29_CC,CN18FESPkoa_SC26_CC,CN18FESPkoa_SC24_CC
ASV_1244,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,2,8
ASV_1245,19,6,5,10,17,0,4,0,9,0,0,8,5,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,14,4,3,0,3,0,4,0,2,8,3,0,5,0,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1246,24,23,16,8,13,0,36,0,15,0,9,32,11,0,17,0,11,0,7,0,1,8,5,0,10,1,2,9,1,6,0,6,2,1,9,1,1,3,1,4,6,31,21,12,7,19,0,30,0,8,0,10,26,10,0,26,0,11,0,8,0,5,5,4,6,3,7,1,1,1,3,0,6,0,2,2,2,4,2,0,0,1
ASV_1248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,23,37,45,15,28,54,54,38,47,19,55,42,17,11,21,19,161,149,32,44,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,5,40,7,20,14,13,26,54,19,17,25,55,20,65,30,18,4,14
ASV_1249,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,10,14,4,16,1,10,16,14,13,36,1,31,24,29,27,9,55,34,20,32,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,10,20,9,14,25,12,5,11,21,7,13,11,12,16,12,5,5,5,7,1,33
ASV_1250,25,13,13,22,9,0,6,0,15,1,3,13,10,0,17,0,7,0,2,1,8,18,30,5,25,26,26,5,1,19,2,1,7,6,16,6,5,7,5,13,30,26,14,8,16,4,0,9,0,16,0,7,4,6,0,17,0,5,0,1,2,7,17,13,6,6,5,5,3,15,14,7,9,7,13,14,5,16,7,1,3,7
ASV_1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,5,0,0,9,0,2,0,0,7,0,9,4,0,6,11,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,0,0,10,17,7,6,3,24,37,11,39,0,1,37,29,24,56
ASV_1253,1,1,0,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,55,23,32,31,7,23,61,26,8,38,3,34,17,10,17,14,17,49,39,66,50,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,39,35,25,30,35,17,15,17,32,28,29,16,21,34,25,16,27,15,2,3,13
ASV_1254,0,0,0,0,1,9,1,2,0,2,0,1,0,13,1,5,0,5,0,16,11,0,6,2,0,0,5,0,5,6,0,0,0,10,0,5,5,2,2,2,3,0,2,1,0,0,11,0,4,2,4,0,0,0,5,1,7,0,5,0,20,3,1,2,1,4,1,3,0,0,1,3,2,0,0,1,0,2,0,1,0,2
ASV_1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,3,2,15,7,9,3,8,2,18,2,10,2,5,29,36,35,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,15,5,4,14,9,8,11,11,10,11,9,6,14,4,2,3,15
ASV_1257,21,25,25,13,14,0,19,0,31,0,31,24,15,0,13,0,16,0,5,0,19,13,11,5,10,4,10,15,3,13,2,12,11,4,12,4,1,6,10,12,8,14,28,15,9,12,0,22,0,35,0,13,21,12,0,14,0,16,0,3,0,12,11,9,8,9,8,8,6,14,18,8,7,4,9,4,6,12,3,0,0,3
ASV_1258,1,0,1,3,1,1,1,0,0,2,1,1,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,3,0,0,0,7,1,0,33,0,1,2,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,4,0,0,0,1,0,2,1,0,1,3,0,1,0,0,2,22
ASV_1259,28,28,28,19,22,0,40,0,31,0,10,22,10,0,15,0,39,0,6,1,2,4,0,1,1,1,4,4,0,6,0,4,1,2,2,4,1,3,3,8,1,28,22,26,18,14,0,22,0,21,0,13,25,4,0,7,0,35,0,0,0,1,2,4,2,2,2,1,1,3,0,1,3,2,1,1,0,2,3,0,0,4
ASV_1262,0,0,0,0,0,49,0,0,0,10,0,0,0,14,0,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,41,0,0,0,7,0,0,0,12,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1
ASV_1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,0,0,0,0,1,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,2,0,0,0,2,0,5,1,0,0,4
ASV_1264,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,8,5,19,18,9,76,18,1,28,8,51,27,0,9,24,0,14,10,29,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,22,27,10,77,54,27,10,21,6,23,36,4,31,31,7,21,17,5,3,14
ASV_1265,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,1,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,11,0,13,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
ASV_1266,1,1,2,0,0,2,0,15,2,0,2,1,2,3,3,0,1,2,0,5,3,7,11,13,0,54,4,17,6,13,9,23,11,11,0,11,16,37,22,13,8,3,2,1,1,2,3,0,8,3,0,2,0,1,2,0,0,0,1,0,4,0,0,0,1,7,7,9,9,6,6,1,12,10,17,6,4,17,5,2,1,11
ASV_1267,25,7,8,5,16,0,18,0,11,0,11,12,7,0,7,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,8,2,17,0,15,1,6,0,11,9,8,0,15,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
ASV_1268,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1271,40,21,27,10,29,0,65,0,30,0,14,23,17,0,15,0,19,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34,21,16,11,26,0,47,0,20,0,7,21,13,0,12,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1272,0,0,0,0,0,13,0,2,0,3,0,0,0,17,1,1,0,2,0,11,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,0,3,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
ASV_1274,1,0,0,1,0,35,1,0,0,6,0,1,0,46,0,19,1,6,0,11,5,0,0,0,0,2,2,2,0,3,0,3,0,0,1,0,3,2,0,3,0,1,0,0,0,0,27,0,1,2,3,0,0,0,36,0,13,0,9,0,14,1,2,3,1,1,0,3,2,0,0,3,0,4,0,1,0,0,0,0,0,3
ASV_1275,0,0,0,0,0,168,2,0,0,41,0,0,0,88,0,45,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,32,0,0,0,83,0,37,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,2,0,6,0,2,3,0,2,0,4,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,1,1,1,2,0,1,3,2,1,2,0,0,1
ASV_1277,0,3,3,2,2,0,3,1,5,0,5,2,2,0,0,0,0,1,0,5,39,20,65,150,0,155,21,52,16,38,25,68,113,6,2,45,13,127,131,131,66,2,0,3,1,0,0,1,2,4,0,1,4,0,0,1,0,0,1,1,4,20,28,23,22,52,16,19,36,55,49,41,70,67,82,60,31,73,31,25,1,6
ASV_1278,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,5,7,0,4,0,4,0,1,2,1,6,1,5,4,3,2,1,3,0,1
ASV_1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,25,70,87,3,94,63,78,22,28,14,33,31,30,5,32,57,58,64,81,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,27,32,50,16,32,12,31,31,41,49,30,42,57,30,56,15,12,8,17
ASV_1280,0,0,1,0,0,71,1,9,0,46,0,2,0,35,0,15,0,34,0,116,0,1,2,4,0,3,1,0,1,1,0,4,0,3,1,0,1,17,10,10,1,0,0,2,0,0,40,2,10,0,36,0,0,0,26,0,9,0,31,0,107,0,0,0,1,9,1,0,2,0,1,6,0,0,7,6,0,4,4,2,0,1
ASV_1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,1,0,0,0,3,2,68
ASV_1282,0,0,0,0,0,10,0,2,0,0,0,0,0,7,0,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,6,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1283,2,3,3,2,2,37,1,4,0,4,2,3,5,56,1,20,0,6,0,14,12,2,4,7,1,9,13,6,4,24,4,10,4,4,8,6,4,8,17,18,22,2,1,0,0,2,30,0,6,1,3,2,0,0,32,2,16,0,7,0,15,15,21,11,6,14,8,13,7,15,15,12,15,5,9,8,15,6,12,1,0,12
ASV_1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,1,0,1,0,0,0,0,7,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5,3,2,2,4,4,7,0,11,0,0,4,4,0,3,2,0,2,2
ASV_1285,22,0,29,0,0,0,15,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,0,16,0,0,0,9,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1286,0,0,0,0,0,0,9,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,5,0,0,2,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3
ASV_1287,7,6,1,1,1,0,0,0,5,0,1,3,0,0,4,0,0,0,1,1,3,0,6,0,0,1,1,4,0,0,0,5,0,0,0,0,0,2,0,0,0,8,7,2,2,2,0,0,0,4,0,2,3,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2
ASV_1289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1290,10,19,29,4,9,0,21,0,25,0,7,19,8,0,16,0,16,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,21,2,7,0,17,0,17,0,8,14,10,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1291,24,20,7,42,20,0,28,0,0,0,23,8,1,0,3,0,3,0,0,0,22,9,6,21,5,11,8,9,3,25,4,4,5,2,6,4,5,22,12,30,21,16,29,13,22,21,0,23,0,0,0,12,16,1,0,2,0,0,0,0,0,13,13,9,8,13,9,6,8,13,10,4,4,2,7,7,8,10,6,5,3,2
ASV_1292,0,0,1,0,0,10,0,1,0,6,0,1,1,36,0,13,0,22,1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,3,0,1,2,1,0,22,0,6,0,24,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1293,0,5,2,2,2,0,0,5,0,2,0,0,1,1,1,0,1,2,0,34,6,23,39,28,18,81,23,25,19,58,37,47,24,25,5,14,42,48,100,40,41,1,3,2,2,0,3,0,3,1,2,0,0,0,1,0,0,0,1,0,28,33,41,33,43,23,22,34,20,31,16,24,38,31,51,77,91,94,41,25,18,36
ASV_1294,92,39,62,2,59,0,36,0,53,0,35,73,39,0,59,0,42,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37,41,0,56,0,37,0,37,0,28,50,33,0,41,0,41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1295,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV_1296,1,0,0,5,0,9,4,0,0,1,0,3,1,5,3,17,1,29,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,6,1,0,1,0,1,0,16,3,11,0,13,0,7,0,3,5,9,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
ASV_1298,2,3,0,6,3,0,2,0,2,0,0,1,1,0,1,1,2,0,0,1,14,47,27,3,20,12,29,15,3,13,7,6,12,2,19,25,4,13,9,18,27,2,1,0,6,1,0,4,0,4,0,0,1,1,1,0,0,1,0,1,4,4,8,9,6,9,12,4,10,16,13,14,15,9,27,6,6,10,5,4,3,5
ASV_1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,5,1,7
ASV_1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,7,1,1,13,1,18,8,0,12,4,0,4,3,1,5,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,9,11,24,20,12,8,12,6,2,4,5,7,5,0,2,1,2,0,1
ASV_1301,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1302,9,7,3,14,10,4,11,1,3,1,9,5,5,10,6,5,4,1,2,20,12,13,11,11,3,13,14,22,3,27,1,12,11,3,9,11,6,30,19,23,17,13,6,6,8,11,4,16,1,8,0,3,4,6,9,3,1,2,2,1,17,33,48,16,20,16,12,11,4,20,17,21,9,12,10,16,9,18,5,2,1,4
ASV_1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1304,34,0,18,24,41,0,45,0,37,0,0,13,3,0,24,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,0,15,27,48,0,38,0,26,0,0,9,2,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
ASV_1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0
ASV_1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ASV_1309,60,40,55,2,47,0,23,0,22,0,21,35,29,0,20,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,31,40,0,29,0,24,0,23,0,16,30,18,0,17,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1310,4,2,2,3,2,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,47,58,100,32,21,96,60,35,13,71,12,42,42,8,13,30,5,30,63,90,82,9,1,1,3,1,0,1,0,0,0,3,1,6,0,2,0,1,0,0,0,13,54,37,48,28,27,33,23,44,46,32,33,23,42,66,44,51,16,18,6,20
ASV_1311,12,6,10,6,6,1,8,0,10,0,3,4,0,0,6,0,5,0,3,1,28,25,27,25,4,25,28,26,9,19,3,9,13,10,9,14,5,15,32,33,34,5,5,5,0,4,0,4,0,3,0,1,6,2,1,3,0,1,0,0,1,13,27,26,10,14,5,8,9,18,18,8,23,5,9,8,11,14,6,6,2,7
ASV_1312,0,0,2,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,2,7,9,10,0,0,2,3,1,1,4,0,0,5,0,6,3,4,1,2,7,21,0,0,1,0,0,5,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV_1313,57,41,31,34,34,0,24,0,26,0,26,39,28,0,45,0,21,0,7,0,8,11,2,0,2,1,3,12,0,4,0,14,6,4,3,6,0,2,1,2,4,44,41,24,31,28,0,30,0,13,0,16,34,25,0,23,0,23,0,1,0,8,4,5,0,2,2,7,9,6,3,5,7,0,1,2,5,3,1,0,1,0
ASV_1314,70,38,49,7,46,0,51,0,49,1,25,29,22,0,74,0,42,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,48,10,54,0,29,0,40,0,22,34,21,0,55,0,31,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,13,6,0,5,1,3,3,5,4,2,21,8,8,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,18,37,25,16,10,16,31,33,47,27,17,50,35,25,20,14,10,4,24
ASV_1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,2,0,0,0
ASV_1317,0,0,0,2,0,3,2,2,0,3,0,0,1,1,0,0,0,5,0,11,2,0,8,8,1,2,2,5,0,7,0,7,2,3,0,3,6,2,2,2,4,1,1,1,9,0,2,1,4,3,0,0,0,1,0,2,0,0,1,0,13,3,0,1,1,3,2,2,0,4,4,1,2,1,5,2,0,2,3,1,0,1
ASV_1318,1,1,2,2,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,5,2,6,6,5,2,6,5,12,1,10,2,3,4,5,3,8,13,7,10,5,18,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,1,19,28,12,11,14,3,11,3,13,13,7,23,14,7,14,1,15,4,0,0,6
ASV_1319,1,19,25,9,14,0,15,0,38,0,4,33,2,0,11,0,33,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,9,15,0,13,0,30,0,2,30,5,0,13,0,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1320,1,0,0,0,0,1,0,0,0,2,0,0,1,2,0,1,0,1,0,2,0,5,0,0,0,1,2,0,0,3,0,2,1,4,0,3,3,2,3,7,3,1,0,0,0,0,4,0,0,0,1,0,0,1,2,0,0,0,1,0,3,1,2,1,0,4,1,0,2,2,0,3,2,0,1,0,1,2,0,0,0,2
ASV_1321,0,0,1,2,1,3,0,3,0,2,1,0,1,0,0,0,0,2,0,17,0,0,1,2,0,0,0,1,1,2,0,2,0,1,0,3,0,7,3,0,0,2,2,0,2,0,3,0,1,0,2,0,1,0,1,1,0,1,1,0,12,2,0,0,0,3,0,1,1,1,0,2,1,0,1,1,1,3,1,0,0,2
ASV_1323,16,9,17,0,0,0,4,0,22,0,4,9,2,0,2,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,16,1,1,0,7,0,22,0,12,8,4,0,3,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1324,44,7,21,10,21,0,28,0,40,0,41,38,3,0,20,0,10,0,12,0,0,1,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,40,5,12,11,11,0,29,0,41,0,25,30,5,0,13,0,4,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
ASV_1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1326,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0
ASV_1328,0,0,0,0,0,24,0,4,0,7,0,0,0,44,0,24,0,25,0,33,8,0,2,0,0,8,0,1,1,0,1,0,1,1,0,1,3,4,10,0,1,0,0,0,0,0,22,0,3,0,5,0,0,0,37,0,31,0,13,0,27,1,1,4,2,11,1,3,2,4,8,6,5,1,6,3,3,2,2,3,1,7
