hash,Domain,Phylum,Class,Order,Family,Genus,Species
2f6237ba18914a328d59ddd8f4359315,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group, s__uncultured_Flavobacteriia
2fb663b977f76d53f97ec17b9b8558e2,d__Bacteria, p__Margulisbacteria, c__Margulisbacteria, o__Margulisbacteria, f__Margulisbacteria, g__Margulisbacteria, s__uncultured_bacterium
2fc57e79de44ed1f662497532b95668f,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Defluviicoccales, f__uncultured, g__uncultured, s__unidentified_marine
2ff2a6721d9825fefde3f7e2bfd017fd,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__AEGEAN-169_marine_group, g__AEGEAN-169_marine_group, s__alpha_proteobacterium
311bfce3b55e75cbc8ed5281f6d5c51b,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Cellvibrionales, f__Halieaceae, g__OM60(NOR5)_clade,
31f1c6b0fc2ac518e94e7cadfe7f28a1,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,
320745f27f13870b8d4266d8ed074520,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,
3294fc2316eda5d9ba63342d55d5f0d9,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Cyanobium_PCC-6307,
329dbbdfed47f6f1add43dbd661ae312,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Coxiellales, f__Coxiellaceae, g__Coxiella,
32a1de2e50f861d3faa0a10359894288,d__Bacteria, p__Dadabacteria, c__Dadabacteriia, o__Dadabacteriales, f__Dadabacteriales, g__Dadabacteriales, s__marine_metagenome
3305193a7e5714d91f4560db7110d4d6,d__Bacteria, p__Marinimicrobia_(SAR406_clade), c__Marinimicrobia_(SAR406_clade), o__Marinimicrobia_(SAR406_clade), f__Marinimicrobia_(SAR406_clade), g__Marinimicrobia_(SAR406_clade), s__metagenome
3377df2319643d4ef0ae5b78dd7ba090,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Magnetospiraceae, g__uncultured, s__uncultured_Rhodospirillaceae
35815bf6ae80220f04c034928f36eabf,d__Archaea, p__Nanoarchaeota, c__Nanoarchaeia, o__Woesearchaeales, f__Woesearchaeales, g__Woesearchaeales, s__uncultured_euryarchaeote
3754b474d7e5d262794cf0d3e078f006,d__Bacteria, p__WPS-2, c__WPS-2, o__WPS-2, f__WPS-2, g__WPS-2, s__marine_metagenome
3a2962285f9fb621486c2dcc3ff1888b,d__Bacteria, p__Desulfobacterota, c__Desulfuromonadia, o__PB19, f__PB19, g__PB19,
3a3fd6e4fae792abb62113798ff8ad9f,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
3a60ab202702a89a0e1ea01313c6e756,d__Bacteria, p__Verrucomicrobiota, c__Kiritimatiellae, o__Kiritimatiellales, f__Kiritimatiellaceae, g__R76-B128,
3abe7b903dd88bcbded7a0569811b25b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ib,
3bea169b9618e1d3e3b5aa76156f8321,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS7_marine_group, g__NS7_marine_group, s__uncultured_bacterium
3beb17330cac2fcc7b9370af2c647a55,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__OM27_clade, s__uncultured_marine
3d0d96ced1f2cb596c86e245d598baa2,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,
3d8f5e7a12b51232ee0ce4b5fb06dab5,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
3d9a0603f3559da5fbb78fa309b97845,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
3ded7058f116eefcf9ea764bfd6edcae,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS4_marine_group,
3dfc3a173bbbfb8e5eb5646440d84b0c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__KI89A_clade, f__KI89A_clade, g__KI89A_clade, s__uncultured_bacterium
3e478e9828bc57aa04bb32c24c3e520c,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__uncultured_SAR86
401a67858704d406087efd35334e84e1,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_II, g__Clade_II,
40ca48a0e5f43d8774d69b2c8fca3830,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade, s__uncultured_SAR86
410ec75cedeb8b1d467fb5f34a059ab0,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__SAR11_clade, f__Clade_I, g__Clade_Ia,
43663402b09845f5cb5af0d2207ddbb2,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Opitutales, f__Puniceicoccaceae, g__MB11C04_marine_group, s__Verrucomicrobia_bacterium
44369269b45b7e1a562a501cea30045e,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Synechococcales, f__Cyanobiaceae, g__Prochlorococcus_MIT9313,
44396e4fdf8d35bf123d4a5340b3714e,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Puniceispirillales, f__SAR116_clade, g__SAR116_clade, s__uncultured_bacterium
445b6909c9982cd67cbd85ef45ea0065,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__NS2b_marine_group,
44a872b3bf1d60f168d43c59f8081eba,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__NS9_marine_group, g__NS9_marine_group,
44d053f853792d7b7290245e1abbab55,d__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast,
46132aba348ceac8d9623c008dd8c207,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__AT-s3-44, f__AT-s3-44, g__AT-s3-44, s__uncultured_bacterium
4666a09dc7cd018a3e9d86406b110b23,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__SAR86_clade, f__SAR86_clade, g__SAR86_clade,
