,Lasker18Sc122_3_D0052_VV,Lasker18Sc122_5_D0053_VV,Lasker18Sc122_17_D0057_VV,Lasker18Sc122_19_D0058_VV,Lasker18Sc123_3_D0063_VV,Lasker18Sc123_5_D0064_VV,Lasker18Sc123_17_D0068_VV,Lasker18Sc123_19_D0069_VV,Lasker18Sc124_3_D0073_VV,Lasker18Sc124_5_D0074_VV,Lasker18Sc124_17_D0078_VV,Lasker18Sc124_19_D0079_VV,Lasker18Sc126_3_D0085_VV,Lasker18Sc126_5_D0086_VV,Lasker18Sc126_17_D0090_VV,Lasker18Sc127_3_D0095_VV,Lasker18Sc127_5_D0096_VV,Lasker18Sc127_17_D0100_VV,Lasker18Sc127_19_D0101_VV,Lasker18Sc128_3_D0105_VV,Lasker18Sc128_7_D0107_VV,Lasker18Sc128_16_D0110_VV,Lasker18Sc128_19_D0111_VV,Lasker18Sc129_3_D0116_VV,Lasker18Sc129_5_D0117_VV,Lasker18Sc129_17_D0121_VV,Lasker18Sc129_19_D0122_VV,Lasker18Sc130_3_D0127_VV,Lasker18Sc130_5_D0128_VV,Lasker18Sc130_17_D0132_VV,Lasker18Sc130_19_D0133_VV,Lasker18Sc132_3_D0137_VV,Lasker18Sc132_5_D0138_VV,Lasker18Sc132_17_D0142_VV,Lasker18Sc132_19_D0143_VV,Lasker18Sc133_3_D0147_VV,Lasker18Sc133_5_D0148_VV,Lasker18Sc133_17_D0152_VV,Lasker18Sc133_19_D0153_VV,Lasker18Sc134_3_D0158_VV,Lasker18Sc134_5_D0159_VV,Lasker18Sc134_17_D0163_VV,Lasker18Sc134_19_D0164_VV,Lasker18Sc135_17_D0173_VV,Lasker18Sc135_19_D0174_VV,Lasker18Sc145_3_D0219_VV,Lasker18Sc145_5_D0220_VV,Lasker18Sc145_17_D0224_VV,Lasker18Sc145_19_D0225_VV,Lasker18Sc150_3_D0229_VV,Lasker18Sc150_5_D0230_VV,Lasker18Sc150_17_D0234_VV,Lasker18Sc150_19_D0235_VV,Lasker18Sc151_3_D0240_VV,Lasker18Sc151_5_D0241_VV,Lasker18Sc151_17_D0245_VV,Lasker18Sc151_19_D0246_VV,Lasker18Sc153_3_D0250_VV,Lasker18Sc153_5_D0251_VV,Lasker18Sc153_17_D0255_VV,Lasker18Sc153_19_D0256_VV,Lasker18Sc154_3_D0260_VV,Lasker18Sc154_5_D0261_VV,Lasker18Sc154_17_D0265_VV,Lasker18Sc154_19_D0266_VV,Lasker18Sc158_3_D0270_VV,Lasker18Sc158_5_D0271_VV,Lasker18Sc158_17_D0275_VV,Lasker18Sc158_19_D0276_VV
ASV_22,0,0,0,0,3931,3,0,0,2,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,274,41,91,0,2455,165,1,0,0,1,1,0,450,0,0,3,4144,0,1,1836,0,0,0,0,5,0,667,514,1,6397,318,0,0,0,873,1014,0,1,0,0,1,269
ASV_23,140,389,85,102,1011,2025,27,18,133,387,0,0,134,145,19,89,339,47,8,122,186,23,26,995,1567,56,29,663,832,22,22,808,880,67,32,898,684,172,188,512,773,37,25,15,12,1086,672,0,10,632,720,73,52,1556,1036,30,28,400,540,82,152,1000,935,141,62,503,572,73,50
ASV_24,0,0,2,407,0,0,550,489,0,0,115,65,1,0,1358,0,0,976,488,0,0,556,1747,0,0,1529,369,0,0,1008,447,0,0,196,81,0,0,175,177,0,0,0,17,1299,2598,0,0,252,20,0,0,933,108,0,0,782,330,0,0,268,28,0,0,21,44,0,0,197,386
ASV_25,6,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2985,0,0,0,0,3,0,0,5417,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,3333,0,0,0,0,3,6,0,1,0,0,0,349,343,0,0,0,1836,1,0,0,2,34,0
ASV_26,77,160,82,85,114,326,0,0,0,1,0,0,195,106,0,44,148,0,0,0,7,5,0,28,33,16,10,247,217,22,8,504,187,7,12,168,89,48,35,163,294,2,1,0,0,139,102,2,0,137,79,97,28,668,539,0,1,10,124,0,0,209,177,105,83,178,138,15,14
ASV_30,0,0,161,246,0,0,9,38,0,0,65,65,0,0,65,0,0,108,72,0,0,678,404,6,14,225,223,0,18,113,77,14,0,15,6,9,0,47,16,34,38,10,1,111,78,0,0,0,0,133,0,0,0,0,0,0,0,46,77,0,49,0,0,73,0,0,20,25,22
ASV_31,9,25,11,17,12,16,0,0,49,82,8,8,132,58,28,37,133,31,36,32,6,45,17,2,45,155,657,6,19,372,360,0,51,38,18,0,11,1,295,197,55,51,9,52,10,3,4,21,16,188,82,305,129,90,0,98,123,19,10,10,15,0,6,51,66,101,374,98,41
ASV_32,0,0,4,0,0,0,6,225,0,0,745,82,0,0,203,0,0,190,1473,0,0,1567,1809,0,0,126,256,0,0,23,369,0,0,249,0,0,0,0,65,0,0,1,0,1324,127,0,0,162,279,0,0,0,0,0,0,0,1,0,1,208,25,0,0,685,7,0,0,0,1
ASV_33,0,0,0,1,0,0,6,3,0,0,21,6,3,1,1885,0,0,2743,3316,2,0,1508,1261,0,0,3417,2485,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASV_34,81,72,0,0,7,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,20,0,0,12,0,0,0,15,1,0,0,10,0,1,0,0,0,0,10,0,0,153,11,0,0,0,0,0,0,39,41,0,0,1,0,0,0,2,1,0,0
ASV_35,41,146,217,233,6,12,15,8,0,0,1,0,44,20,79,147,580,787,302,9,24,716,172,38,29,436,494,155,185,23563,23935,32,133,211,217,17,7,10,3,28,30,0,0,10565,4579,30,28,11,50,73,2,109,26,3,66,132,405,89,84,87,104,42,6,108,76,12,4,81,55
ASV_36,0,34,55,104,13,38,77,75,0,0,3,0,0,4,80,6,7,239,77,1,1,8,11,58,117,62,119,31,35,45,80,15,50,31,30,59,36,106,128,199,186,12,12,566,205,43,39,0,35,93,102,251,71,105,34,178,144,18,44,344,350,20,18,390,197,53,32,91,43
ASV_38,0,1,441,424,0,1,4,0,0,0,50,49,1,5,67,0,4,10,11,0,0,445,400,6,7,92,20,70,76,7,0,14,16,9,11,30,18,18,14,111,131,14,4,0,0,37,20,0,0,136,123,36,23,26,18,3,4,81,129,2,6,22,14,107,42,42,29,28,13
ASV_39,0,0,0,4,0,0,860,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV_40,0,1,4,0,60,79,461,138,0,0,0,0,25,0,13,0,6,121,116,0,0,85,49,3,27,294,284,54,88,48,45,8,42,95,81,0,0,0,0,84,21,29,14,30,46,22,0,8,1,60,72,392,210,0,0,405,311,31,65,132,99,9,0,804,1045,22,148,496,216
