ASV ID	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
ASV_823	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	6	8	4	8	7	2	11	0	14	0	25	0
ASV_824	16	4	26	7	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	1	0	0	1	0	0	1	0	7	2	0	1	0	0	24	1	13	46	1	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_825	11	0	4	3	9	5	5	14	1	7	13	8	1	3	3	13	26	0	0	0	0	1	0	0	0	2	0	29	1	0	0	0	0	0	4	21	3	0	1	1	7	3	16	8	0	7	0	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1
ASV_826	2	2	1	0	4	1	8	4	7	8	9	2	8	3	5	5	6	1	5	5	9	8	3	10	19	19	2	19	5	13	2	11	7	0	3	10	6	10	5	1	1	3	1	12	1	5	1	0	3	1	1	1	1	3	2	1	12	6	2	0	3	1	2
ASV_828	9	0	1	4	5	2	8	6	6	9	14	5	8	4	3	10	10	5	6	8	2	20	11	27	25	3	8	2	33	26	18	14	17	11	17	4	11	15	12	0	5	4	2	0	3	1	9	0	10	0	3	6	4	13	8	5	5	9	0	5	0	5	0
ASV_829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	9	14	4	8	8	17	0	2	0	9	0	8	0
ASV_830	3	0	0	0	0	1	0	0	0	0	2	1	2	0	1	1	3	0	1	2	0	0	1	0	0	0	0	0	0	2	1	2	0	0	0	1	1	0	0	0	0	0	4	8	0	4	0	5	0	10	0	0	1	1	0	1	1	0	14	0	6	0	3
ASV_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	0	7	0	0	0	0	0	4	20	4	6	0	6	0	21	0
ASV_832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	11	0	14	0	10	6	8	12	6	4	4	5	0	5	0	11	0
ASV_833	493	61	106	275	654	236	332	490	243	246	164	200	307	164	128	80	291	92	117	72	95	127	157	316	277	284	119	412	412	189	134	425	119	175	337	411	637	648	400	120	176	322	233	7	0	0	5	0	3	0	3	2	1	5	2	2	6	3	0	5	1	4	0
