"","SampleID","PC1","PC2","PC3","FilterID","year","Dataset","project"
"51","CN18Sc27_8_eDNA_AA",0.017028853774729,0.0800459936669659,-0.0319318445849951,"CN18Sc27_8_eDNA",2018,"Merged2018","CN18S"
"52","CN18SESPkoa_SC49_AA",-0.0910755036513441,0.00965135750878464,-0.10040597627724,"CN18SESPkoa_SC49",2018,"Merged2018","CN18S"
"53","CN18SESPkoa_SC47_AA",-0.112116029438626,0.00759613139788066,-0.0629880554036037,"CN18SESPkoa_SC47",2018,"Merged2018","CN18S"
"54","CN18SESPkoa_SC45_AA",-0.0920242709272941,0.0152391539252834,-0.120795831826364,"CN18SESPkoa_SC45",2018,"Merged2018","CN18S"
"55","CN18SESPkoa_SC44_AA",0.00160812283110379,0.103521271523841,0.0223232271275261,"CN18SESPkoa_SC44",2018,"Merged2018","CN18S"
"56","CN18SESPkoa_SC42_AA",-0.108270974463104,-2.37183200759473e-05,-0.0698386483100733,"CN18SESPkoa_SC42",2018,"Merged2018","CN18S"
"57","CN18SESPkoa_SC41_AA",0.00106278137012538,0.0795518782039227,-0.0228287195012006,"CN18SESPkoa_SC41",2018,"Merged2018","CN18S"
"58","CN18SESPkoa_SC40_AA",-0.0878107246936727,0.0156690968180068,-0.102830635300483,"CN18SESPkoa_SC40",2018,"Merged2018","CN18S"
"59","CN18SESPkoa_SC39_AA",0.0211819824346866,0.0787337823323908,0.0102495855049639,"CN18SESPkoa_SC39",2018,"Merged2018","CN18S"
"60","CN18SESPkoa_SC37_AA",-0.0530915782736715,0.0216211407510631,-0.184809951532629,"CN18SESPkoa_SC37",2018,"Merged2018","CN18S"
"61","CN18SESPkoa_SC36_AA",0.0311704370340171,0.0662007600201837,0.0754647411494242,"CN18SESPkoa_SC36",2018,"Merged2018","CN18S"
"62","CN18FESPkoa_SC58_CC",0.0622673857569951,-0.0991871642808718,0.0121901408386266,"CN18FESPkoa_SC58",2018,"Merged2018","CN18F"
"63","CN18FESPkoa_SC57_CC",0.0702416025401111,-0.106304725152985,0.0107201110781114,"CN18FESPkoa_SC57",2018,"Merged2018","CN18F"
"64","CN18FESPkoa_SC56_CC",0.0691436362774881,-0.10404543312037,0.0078057144962786,"CN18FESPkoa_SC56",2018,"Merged2018","CN18F"
"65","CN18FESPkoa_SC55_CC",0.074143099163365,-0.103553001659595,0.00271293426017,"CN18FESPkoa_SC55",2018,"Merged2018","CN18F"
"66","CN18FESPkoa_SC53_CC",0.098563123988213,-0.134429484476613,0.0711562427449507,"CN18FESPkoa_SC53",2018,"Merged2018","CN18F"
"67","CN18FESPkoa_SC52_CC",0.0731507330956164,-0.106053632622768,0.0100376659534173,"CN18FESPkoa_SC52",2018,"Merged2018","CN18F"
