"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1125","ASV_1125",0.00185546595601629,-0.00467344196612878,0.00250322126643119,"ASV_1125","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b_marine_group",NA
"1126","ASV_1126",0.00126375718828678,0.00254190520473484,-0.00191161262558649,"ASV_1126","Archaea","Thermoplasmatota","Thermoplasmata","Thermoplasmata","Thermoplasmata","Marine_Group_III","uncultured_marine"
"1127","ASV_1127",0.00296234906066981,0.00311396985733811,0.00612032638977103,"ASV_1127","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_marine"
"1128","ASV_1128",0.00794080252338403,0.0119886072954508,0.0116977067123002,"ASV_1128","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira","metagenome"
"1129","ASV_1129",0.00244093554604177,-0.0108137286930546,0.0138512001990022,"ASV_1129","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","metagenome"
"1130","ASV_1130",0.0166947654091507,0.0212287445460309,0.0262327599991476,"ASV_1130","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","uncultured_bacterium"
"1131","ASV_1131",-0.00081034656935218,-0.0199016160618153,0.00756205212009591,"ASV_1131","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",NA
"1132","ASV_1132",0.000502199417289276,-0.000877483740536458,-0.00273831166485398,"ASV_1132","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA
"1133","ASV_1133",0.0162548283940404,0.00453852989709119,0.028627442392126,"ASV_1133","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"1134","ASV_1134",0.00194045826324523,-0.00628596887039441,0.00699481220664424,"ASV_1134","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA
"1135","ASV_1135",0.00226178009429386,-0.00508201516687746,0.00424397122545939,"ASV_1135","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","KI89A_clade","KI89A_clade","uncultured_bacterium"
"1136","ASV_1136",-0.0125820264721407,0.00491190492961358,0.00435575906388381,"ASV_1136","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","Vicingus","uncultured_Cryomorphaceae"
"1137","ASV_1137",0.000927901804642415,0.00111970997712898,-0.00150816916129527,"ASV_1137","Bacteria","Proteobacteria","Gammaproteobacteria","Thiomicrospirales","Thioglobaceae","SUP05_cluster",NA
"1138","ASV_1138",-0.000167677006762946,-0.00124371498896645,-0.00245181889854665,"ASV_1138","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"1139","ASV_1139",0.000773079109845715,-7.04351877412726e-05,-0.00169619917100113,"ASV_1139","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"1140","ASV_1140",0.00287653095330612,-0.00573778644493821,0.0051341807057746,"ASV_1140","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella",NA
"1141","ASV_1141",0.00454478520468063,-0.0419036724030517,0.0255729185777054,"ASV_1141","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"1142","ASV_1142",0.00575381875329576,0.00617595418908333,0.00946066327455451,"ASV_1142","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA
"1143","ASV_1143",-0.00144481581160613,-0.00959469832810366,0.00133033294133921,"ASV_1143","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Arctic97B-4_marine_group","Arctic97B-4_marine_group","Arctic97B-4_marine_group",NA
"1144","ASV_1144",-0.0512642830499656,0.00510927646183423,0.0134713770585492,"ASV_1144","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_marine"
"1145","ASV_1145",0.00167114697102272,-0.00375091818636096,0.00180215919080864,"ASV_1145","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",NA
"1146","ASV_1146",0.0214305058902976,-0.075866116150137,0.0605624935946737,"ASV_1146","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)",NA
"1147","ASV_1147",0.000478171604379081,0.00172480758732651,-0.00261063312202216,"ASV_1147","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",NA
"1148","ASV_1148",-0.0379761149261845,0.0142732367235706,0.00369498222138225,"ASV_1148","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190",NA
"1149","ASV_1149",0.00863772221725226,0.0130075364197116,0.013252595549579,"ASV_1149","Bacteria","Proteobacteria","Gammaproteobacteria","Piscirickettsiales","Piscirickettsiaceae","Candidatus_Endoecteinascidia",NA
"1150","ASV_1150",-0.00923908598029662,-0.000993595857185442,0.00167991404906528,"ASV_1150","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA
"1151","ASV_1151",-0.00332235884649477,-0.0251977348621346,0.00705827467066532,"ASV_1151","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","uncultured_bacterium"
"1152","ASV_1152",0.00372897935357556,-0.00735129025899516,0.00756915707628038,"ASV_1152","Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade",NA
"1153","ASV_1153",-0.00154552245701963,0.00269736311542147,0.000570692482845161,"ASV_1153","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"1154","ASV_1154",0.000808971374346638,0.000209049377131292,-0.00122709836858881,"ASV_1154","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus",NA
"1155","ASV_1155",-0.00467627255852339,0.00374427166224555,0.00173018037776564,"ASV_1155","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group","uncultured_organism"
"1156","ASV_1156",-0.00924545239888025,-0.0197866314945389,0.00763618650935674,"ASV_1156","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_bacterium"
"1157","ASV_1157",-0.0128354641304217,0.00301704318748823,0.00140913270650747,"ASV_1157","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_marine"
