#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1685	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1686	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_1684	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_1692	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_1691	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1693	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1690	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	g_	s_
ASV_1687	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1688	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1689	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Podospongiidae	g_	s_
ASV_1696	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1697	Eukaryota	unknown	Oomycota	Peronosporales	Peronosporaceae	g_	s_
ASV_1694	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_1695	Eukaryota	unknown	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_1699	Eukaryota	unknown	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_1698	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_1702	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Kareniaceae	unassigned	unassigned
ASV_1700	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1701	Eukaryota	unknown	Oomycota	Peronosporales	Peronosporaceae	g_	s_
ASV_1703	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	g_	s_
ASV_1707	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1706	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1705	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1704	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1709	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1708	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1710	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1711	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1714	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1716	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1715	Eukaryota	unknown	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_1713	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1712	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1718	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1717	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1719	Eukaryota	Cercozoa	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_1723	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	Aureococcus anophagefferens
ASV_1721	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1720	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1722	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1727	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1725	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1724	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1726	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1729	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1728	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1731	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1732	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_1730	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1735	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1733	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1734	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1736	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1737	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_1740	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1739	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_1738	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1743	Eukaryota	unknown	Dictyochophyceae	Florenciellales	unknown	g_	s_
ASV_1742	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1741	Eukaryota	Discosea	unknown	Longamoebia	Acanthamoebidae	g_	s_
ASV_1744	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1745	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1751	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	unassigned	g_	s_
ASV_1750	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_1749	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	unknown	Rhynchosporium	s_
ASV_1755	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1747	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	g_	s_
ASV_1748	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1753	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1752	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1754	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1746	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_1758	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1757	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_1756	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1761	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea scottodicarloi
ASV_1759	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1762	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	unassigned	g_	s_
ASV_1760	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	unassigned	g_	s_
ASV_1763	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1765	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1764	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1767	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1769	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1768	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1770	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1766	Eukaryota	unknown	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_1771	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1773	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1774	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1775	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1772	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1780	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus
ASV_1779	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1776	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1777	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1778	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1782	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_1786	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1784	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Kallymeniaceae	g_	s_
ASV_1787	Eukaryota	unknown	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_1785	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_1781	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1783	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1789	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1788	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1791	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1790	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1792	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_1794	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1796	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1793	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1797	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1795	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1800	Eukaryota	unknown	Dictyochophyceae	Florenciellales	unknown	g_	s_
ASV_1798	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1799	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	g_	s_
ASV_1802	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1801	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1805	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Pleuromamma	Pleuromamma borealis
ASV_1806	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_1807	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1809	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_1804	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1803	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1808	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_1812	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1810	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1815	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1818	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_1817	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1811	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1816	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1813	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1814	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_1820	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1819	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Amphiuridae	g_	s_
ASV_1821	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1822	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1825	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1823	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_1824	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1826	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1828	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1827	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1829	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1830	Eukaryota	Porifera	Demospongiae	Axinellida	Raspailiidae	g_	s_
ASV_1833	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1834	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1837	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1836	Eukaryota	Discosea	Flabellinia	Dactylopodida	Paramoebidae	g_	s_
ASV_1831	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1835	Eukaryota	unknown	Oomycota	Pythiales	Pythiaceae	g_	s_
ASV_1839	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1832	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1838	Eukaryota	Bacillariophyta	Mediophyceae	Triceratiales	Plagiogrammaceae	g_	s_
ASV_1840	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1843	Eukaryota	unknown	Haptophyta	Isochrysidales	Noelaerhabdaceae	g_	s_
ASV_1842	Eukaryota	unknown	Dictyochophyceae	Florenciellales	unknown	g_	s_
ASV_1841	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_1844	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1845	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_1846	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1847	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_1848	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1854	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_1853	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1849	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1852	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1855	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1850	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1851	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1858	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1857	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1856	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1859	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1860	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1861	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1865	Eukaryota	Bacillariophyta	unassigned	unassigned	unassigned	g_	s_
ASV_1866	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1862	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1864	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_1863	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_1867	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1868	Eukaryota	unknown	Phaeophyceae	Ectocarpales	unassigned	g_	s_
ASV_1869	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1872	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1876	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1875	Eukaryota	Mollusca	Gastropoda	unknown	Pachychilidae	g_	s_
ASV_1873	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1870	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1871	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1874	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1877	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1879	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	g_	s_
ASV_1878	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1880	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_1883	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1882	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1886	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_1884	Eukaryota	Annelida	unassigned	unassigned	unassigned	g_	s_
ASV_1881	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Candelabridae	g_	s_
ASV_1885	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1889	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_1890	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1888	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1887	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_1895	Eukaryota	Discosea	Flabellinia	unknown	Vannellidae	g_	s_
ASV_1894	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_1891	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1893	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1892	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1896	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Podospongiidae	g_	s_
ASV_1897	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1899	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1900	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1898	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1902	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1903	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1901	Eukaryota	unknown	Oomycota	Peronosporales	Peronosporaceae	g_	s_
ASV_1908	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1904	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1906	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_1905	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1907	Eukaryota	unknown	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_1910	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1909	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1911	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	Oncaea	Oncaea prendeli
ASV_1915	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1913	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1917	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1912	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1918	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Chordariaceae	g_	s_
ASV_1919	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Amphiuridae	Amphipholis	unassigned
ASV_1916	Eukaryota	Porifera	Demospongiae	Desmacellida	Desmacellidae	g_	s_
ASV_1914	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1922	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1926	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1923	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_1925	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1920	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1921	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1924	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1933	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1932	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1934	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_1930	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1929	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1928	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1927	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_1931	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1938	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1935	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1936	Eukaryota	unknown	Oomycota	unassigned	unassigned	g_	s_
ASV_1939	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1937	Eukaryota	Porifera	Demospongiae	Clionaida	Clionaidae	g_	s_
ASV_1941	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1940	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1943	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1942	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_1944	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1949	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_1947	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1948	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	Praya	Praya reticulata
ASV_1945	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1946	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1954	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1952	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1951	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	g_	s_
ASV_1953	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_1950	Eukaryota	Bacillariophyta	Mediophyceae	Triceratiales	Plagiogrammaceae	g_	s_
ASV_1955	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1956	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1959	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1958	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_1957	Eukaryota	Imbricatea	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_1960	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_1961	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_1962	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1964	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1965	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	g_	s_
ASV_1963	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1966	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_1967	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1968	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_1970	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1969	Eukaryota	Haptista	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1975	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1971	Eukaryota	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	g_	s_
ASV_1973	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	g_	s_
ASV_1974	Eukaryota	unknown	Oomycota	unknown	unknown	g_	s_
ASV_1976	Eukaryota	Mollusca	Bivalvia	Arcoida	Arcidae	g_	s_
ASV_1972	Eukaryota	Cnidaria	unassigned	unassigned	unassigned	g_	s_
ASV_1977	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1982	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_1983	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1978	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1981	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1980	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	g_	s_
ASV_1979	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1984	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1985	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1987	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Prayidae	g_	s_
ASV_1986	Eukaryota	Porifera	Demospongiae	unassigned	unassigned	g_	s_
ASV_1996	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_1989	Eukaryota	unknown	Oomycota	Saprolegniales	Saprolegniaceae	g_	s_
ASV_1993	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
