,CN18FESPkoa_SC58_FF,CN18FESPkoa_SC57_FF,CN18FESPkoa_SC56_FF,CN18FESPkoa_SC55_FF,CN18FESPkoa_SC53_FF,CN18FESPkoa_SC52_FF,CN18FESPkoa_SC49_FF,CN18FESPkoa_SC47_FF,CN18FESPkoa_SC46_FF,CN18FESPkoa_SC44_FF,CN18FESPkoa_SC43_FF,CN18FESPkoa_SC41_FF,CN18FESPkoa_SC40_FF,CN18FESPkoa_SC37_FF,CN18FESPkoa_SC34_FF,CN18FESPkoa_SC32_FF,CN18FESPkoa_SC31_FF,CN18FESPkoa_SC30_FF,CN18FESPkoa_SC29_FF,CN18FESPkoa_SC26_FF,CN18FESPkoa_SC24_FF,CN18Fc12_8_eDNA_GG,CN18Fc19_5_eDNA_GG,CN18Fc21_6_eDNA_GG,CN18Fc22_6_eDNA_GG,CN18Fc24_6_eDNA_GG,CN18Fc25_5_eDNA_GG,CN18Fc27_4_eDNA_GG,CN18Fc29_6_eDNA_GG,CN18Fc30_4_eDNA_GG,CN18Fc32_4_eDNA_GG,CN18Fc33_5_eDNA_GG,CN18Fc36_6_eDNA_GG,CN18Fc38_5_eDNA_GG,CN18Fc40_6_eDNA_GG,CN18Fc41_6_eDNA_GG,CN18Fc43_5_eDNA_GG,CN18Fc44_8_eDNA_GG,CN18Fc46_8_eDNA_GG,CN18Fc47_6_eDNA_GG,CN18Fc49_6_eDNA_GG,CN18Fc51_5_eDNA_GG,CN18Sc09_2_eDNA_Y,CN18Sc10_2_eDNA_Y,CN18Sc14_2_eDNA_Y,CN18Sc14_8_eDNA_Y,CN18Sc15_2_eDNA_Y,CN18Sc15_8_eDNA_Y,CN18Sc18_2_eDNA_Y,CN18Sc18_8_eDNA_Y,CN18Sc27_2_eDNA_Y,CN18Sc27_8_eDNA_Y,CN18SESPkoa_SC49_Y,CN18SESPkoa_SC47_Y,CN18SESPkoa_SC45_Y,CN18SESPkoa_SC44_Y,CN18SESPkoa_SC42_Y,CN18SESPkoa_SC41_Y,CN18SESPkoa_SC40_Y,CN18SESPkoa_SC39_Y,CN18SESPkoa_SC37_Y,CN18SESPkoa_SC36_Y
ASV_22,5,2443,1,1,0,697,7,0,0,3530,5270,3,0,3,2012,0,4396,8083,0,1004,6312,5,1877,1719,2266,3449,2749,931,505,204,1,4979,4130,1386,1477,3550,707,3243,1826,1277,470,3,0,0,54,6240,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_23,543,297,353,209,342,339,237,306,245,388,299,174,238,371,495,240,260,395,337,301,330,269,185,209,117,166,209,242,284,28,534,270,346,122,237,181,288,368,151,96,154,473,2116,2831,1652,709,1367,473,925,333,708,225,1419,2762,1513,425,1738,533,839,171,1846,644
ASV_24,3,0,6,3,0,0,0,0,0,0,4,25,1,0,0,5,0,1,0,545,2,3,0,0,1,7,11,0,0,5,348,5,1812,148,3,1,7,45,213,739,477,123,0,0,0,3,0,84,0,0,0,1659,0,0,0,5,0,32,1,7,1,0
ASV_25,1,1012,3,10,10,2853,3568,84,11793,6,11268,2,0,5162,4,0,2,5,7,19,255,1985,2226,898,1322,591,647,1011,1847,2,1,3868,116,2,2931,1679,4344,1238,4457,687,16,3007,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,2,0
ASV_26,744,462,632,313,406,174,218,338,222,329,469,284,490,293,497,340,352,561,339,566,415,58,159,155,163,97,39,166,324,25,69,193,90,106,328,329,268,180,136,54,86,205,1156,799,302,149,608,121,284,167,127,5,412,1435,369,53,512,55,554,42,609,181
ASV_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ASV_30,304,563,586,152,403,216,422,193,385,232,357,514,130,266,1033,317,235,996,351,586,1013,292,349,182,383,384,10,290,344,24,137,139,714,98,541,266,418,427,378,89,415,1255,0,2,0,48,0,164,0,51,0,18,0,0,0,55,0,92,0,114,0,188
ASV_31,319,174,81,40,354,61,95,180,314,83,237,806,62,76,191,355,456,689,116,891,92,61,7,2,0,6,62,39,46,1,242,14,58,29,39,0,20,33,68,8,38,115,142,169,65,20,3,72,2,261,0,5,259,473,483,1971,103,1198,137,6329,455,3594
ASV_32,0,0,2,3,0,0,3,1,0,0,0,0,146,0,20,2,0,0,0,1,1,4,0,3,0,192,0,0,1,0,0,0,1159,4,0,0,0,0,1024,1141,11,110,0,0,0,0,0,611,0,0,0,6,0,0,0,0,0,2,0,0,0,0
ASV_33,14,11,38,62,85,85,36,37,16,18,58,43,57,36,152,80,47,64,21,178,47,2,8,45,14,21,37,27,0,0,6,3,20,4,7,9,16,4,57,0,45,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_34,17344,8658,12074,7009,7312,4984,4788,5196,6516,9404,6757,7618,4588,7490,5584,7036,6102,5654,3819,8247,4840,507,1455,4301,1504,3091,3436,1017,3041,1602,1303,3929,3745,2111,1504,3636,5105,2389,587,751,1155,1004,0,0,0,78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ASV_35,135,3,0,0,10,22,3,4,0,0,2,11,1,22,15,3,1,14,0,2,0,5,6,73,19,45,23,90,66,19,2,168,68,64,45,143,107,18,19,8,2,23,1,40,327,74,12,90,15,2086,1,160,263,1042,458,15,7,9,9,1740,2,1332
